Learning_rate,N_estimators,Min_samples_split,Min_samples_leaf,Max_depth,MMRE-
0.001,30,10,20,100,34.72762
0.001,30,20,1,5,34.73002
0.001,30,20,1,10,34.713899999999995
0.001,30,20,1,20,34.713899999999995
0.001,30,20,1,30,34.713899999999995
0.001,30,20,1,100,34.713899999999995
0.001,30,20,5,5,34.7303
0.001,30,20,5,10,34.714279999999995
0.001,30,20,5,20,34.714279999999995
0.001,30,20,5,30,34.714279999999995
0.001,30,20,5,100,34.714279999999995
0.001,30,20,10,5,34.7308
0.001,30,20,10,10,34.71642
0.001,30,20,10,20,34.71642
0.001,30,20,10,30,34.71642
0.001,30,20,10,100,34.71642
0.001,30,20,20,5,34.73342
0.001,30,20,20,10,34.72762
0.001,30,20,20,20,34.72762
0.001,30,20,20,30,34.72762
0.001,30,20,20,100,34.72762
0.001,30,40,1,5,34.73312
0.001,30,40,1,10,34.72716
0.001,30,40,1,20,34.72716
0.001,30,40,1,30,34.72716
0.001,30,40,1,100,34.72716
0.001,30,40,5,5,34.73312
0.001,30,40,5,10,34.72716
0.001,30,40,5,20,34.72716
0.001,30,40,5,30,34.72716
0.001,30,40,5,100,34.72716
0.001,30,40,10,5,34.73336
0.001,30,40,10,10,34.7274
0.001,30,40,10,20,34.7274
0.001,30,40,10,30,34.7274
0.001,30,40,10,100,34.7274
0.001,30,40,20,5,34.73342
0.001,30,40,20,10,34.72762
0.001,30,40,20,20,34.72762
0.001,30,40,20,30,34.72762
0.001,30,40,20,100,34.72762
0.001,50,2,1,5,34.062599999999996
0.001,50,2,1,10,34.04532
0.001,50,2,1,20,34.044560000000004
0.001,50,2,1,30,34.04448
0.001,50,2,1,100,34.0445
0.001,50,2,5,5,34.063
0.001,50,2,5,10,34.03452
0.001,50,2,5,20,34.03452
0.001,50,2,5,30,34.03452
0.001,50,2,5,100,34.03452
0.001,50,2,10,5,34.06406
0.001,50,2,10,10,34.03936
0.001,50,2,10,20,34.03936
0.001,50,2,10,30,34.03936
0.001,50,2,10,100,34.03936
0.001,50,2,20,5,34.068239999999996
0.001,50,2,20,10,34.058800000000005
0.001,50,2,20,20,34.058800000000005
0.001,50,2,20,30,34.058800000000005
0.001,50,2,20,100,34.058800000000005
0.001,50,6,1,5,34.06246
0.001,50,6,1,10,34.036699999999996
0.001,50,6,1,20,34.03547999999999
0.001,50,6,1,30,34.03547999999999
0.001,50,6,1,100,34.03547999999999
0.001,50,6,5,5,34.063
0.001,50,6,5,10,34.03452
0.001,50,6,5,20,34.03452
0.001,50,6,5,30,34.03452
0.001,50,6,5,100,34.03452
0.001,50,6,10,5,34.06406
0.001,50,6,10,10,34.03936
0.001,50,6,10,20,34.03936
0.001,50,6,10,30,34.03936
0.001,50,6,10,100,34.03936
0.001,50,6,20,5,34.068239999999996
0.001,50,6,20,10,34.058800000000005
0.001,50,6,20,20,34.058800000000005
0.001,50,6,20,30,34.058800000000005
0.001,50,6,20,100,34.058800000000005
0.001,50,10,1,5,34.06252
0.001,50,10,1,10,34.0358
0.001,50,10,1,20,34.035700000000006
0.001,50,10,1,30,34.035700000000006
0.001,50,10,1,100,34.035700000000006
0.001,50,10,5,5,34.063
0.001,50,10,5,10,34.03452
0.001,50,10,5,20,34.03452
0.001,50,10,5,30,34.03452
