alpha,fit_intercept,copy_X,max_iter,tol,solver,MMRE-
0.001,True,True,50000,0.1,cholesky,12352.09694
0.001,True,True,50000,0.1,lsqr,12342.69906
0.001,True,True,50000,0.1,sparse_cg,11193.717139999999
0.001,True,True,50000,0.1,sag,9810.55918
0.001,True,True,50000,0.1,saga,13429.69736
0.001,True,False,5000,0.0001,auto,12352.09694
0.001,True,False,5000,0.0001,svd,12352.09694
0.001,True,False,5000,0.0001,cholesky,12352.09694
0.001,True,False,5000,0.0001,lsqr,12351.761159999998
0.001,True,False,5000,0.0001,sparse_cg,12351.761159999998
0.001,True,False,5000,0.0001,sag,12353.85842
0.001,True,False,5000,0.0001,saga,12351.98928
0.001,True,False,5000,0.001,auto,12352.09694
0.001,True,False,5000,0.001,svd,12352.09694
0.001,True,False,5000,0.001,cholesky,12352.09694
0.001,True,False,5000,0.001,lsqr,12355.638
0.001,True,False,5000,0.001,sparse_cg,12355.638
0.001,True,False,5000,0.001,sag,12387.31872
0.001,True,False,5000,0.001,saga,12360.655600000002
0.001,True,False,5000,0.01,auto,12352.09694
0.001,True,False,5000,0.01,svd,12352.09694
0.001,True,False,5000,0.01,cholesky,12352.09694
0.001,True,False,5000,0.01,lsqr,12344.2634
0.001,True,False,5000,0.01,sparse_cg,12343.5996
0.001,True,False,5000,0.01,sag,12492.6299
0.001,True,False,5000,0.01,saga,12494.02886
0.001,True,False,5000,0.1,auto,12352.09694
0.001,True,False,5000,0.1,svd,12352.09694
0.001,True,False,5000,0.1,cholesky,12352.09694
0.001,True,False,5000,0.1,lsqr,12342.69906
0.001,True,False,5000,0.1,sparse_cg,11193.717139999999
0.001,True,False,5000,0.1,sag,10562.44
0.001,True,False,5000,0.1,saga,14085.354060000001
0.001,True,False,15000,0.0001,auto,12352.09694
0.001,True,False,15000,0.0001,svd,12352.09694
0.001,True,False,15000,0.0001,cholesky,12352.09694
0.001,True,False,15000,0.0001,lsqr,12351.761159999998
0.001,True,False,15000,0.0001,sparse_cg,12351.761159999998
0.001,True,False,15000,0.0001,sag,12352.04782
0.001,True,False,15000,0.0001,saga,12350.218420000001
0.001,True,False,15000,0.001,auto,12352.09694
0.001,True,False,15000,0.001,svd,12352.09694
0.001,True,False,15000,0.001,cholesky,12352.09694
0.001,True,False,15000,0.001,lsqr,12355.638
0.001,True,False,15000,0.001,sparse_cg,12355.638
0.001,True,False,15000,0.001,sag,12350.95476
0.001,True,False,15000,0.001,saga,12344.23776
0.001,True,False,15000,0.01,auto,12352.09694
0.001,True,False,15000,0.01,svd,12352.09694
0.001,True,False,15000,0.01,cholesky,12352.09694
0.001,True,False,15000,0.01,lsqr,12344.2634
0.001,True,False,15000,0.01,sparse_cg,12343.5996
0.001,True,False,15000,0.01,sag,11904.49704
0.001,True,False,15000,0.01,saga,12439.72992
0.001,True,False,15000,0.1,auto,12352.09694
0.001,True,False,15000,0.1,svd,12352.09694
0.001,True,False,15000,0.1,cholesky,12352.09694
0.001,True,False,15000,0.1,lsqr,12342.69906
0.001,True,False,15000,0.1,sparse_cg,11193.717139999999
0.001,True,False,15000,0.1,sag,15768.8739
0.001,True,False,15000,0.1,saga,12093.354519999999
0.001,True,False,20000,0.0001,auto,12352.09694
0.001,True,False,20000,0.0001,svd,12352.09694
0.001,True,False,20000,0.0001,cholesky,12352.09694
0.001,True,False,20000,0.0001,lsqr,12351.761159999998
0.001,True,False,20000,0.0001,sparse_cg,12351.761159999998
0.001,True,False,20000,0.0001,sag,12351.086140000001
0.001,True,False,20000,0.0001,saga,12352.249899999999
0.001,True,False,20000,0.001,auto,12352.09694
0.001,True,False,20000,0.001,svd,12352.09694
0.001,True,False,20000,0.001,cholesky,12352.09694
0.001,True,False,20000,0.001,lsqr,12355.638
0.001,True,False,20000,0.001,sparse_cg,12355.638
0.001,True,False,20000,0.001,sag,12428.017520000001
0.001,True,False,20000,0.001,saga,12361.12492
0.001,True,False,20000,0.01,auto,12352.09694
0.001,True,False,20000,0.01,svd,12352.09694
0.001,True,False,20000,0.01,cholesky,12352.09694
0.001,True,False,20000,0.01,lsqr,12344.2634
0.001,True,False,20000,0.01,sparse_cg,12343.5996
0.001,True,False,20000,0.01,sag,12341.64146
0.001,True,False,20000,0.01,saga,12395.198339999999
0.001,True,False,20000,0.1,auto,12352.09694
0.001,True,False,20000,0.1,svd,12352.09694
0.001,True,False,20000,0.1,cholesky,12352.09694
0.001,True,False,20000,0.1,lsqr,12342.69906
0.001,True,False,20000,0.1,sparse_cg,11193.717139999999
