N_estimators,Max_depth,Min_samples_split,Min_samples_leaf,max_features,Min_impurity_decrease,MMRE-
10,5,20,1,50,0.2,9.68
10,5,20,1,50,0.3,10.406
10,5,20,1,sqrt,0,7.742
10,5,20,1,sqrt,0.1,9.818
10,5,20,1,sqrt,0.2,10.258
10,5,20,1,sqrt,0.3,10.416
10,5,20,1,log2,0,7.712
10,5,20,1,log2,0.1,9.98
10,5,20,1,log2,0.2,10.196
10,5,20,1,log2,0.3,10.412
10,5,20,5,50,0,7.262
10,5,20,5,50,0.1,9.25
10,5,20,5,50,0.2,9.82
10,5,20,5,50,0.3,10.41
10,5,20,5,sqrt,0,7.698
10,5,20,5,sqrt,0.1,9.918
10,5,20,5,sqrt,0.2,10.178
10,5,20,5,sqrt,0.3,10.41
10,5,20,5,log2,0,7.66
10,5,20,5,log2,0.1,9.978
10,5,20,5,log2,0.2,10.074
10,5,20,5,log2,0.3,10.4
10,5,20,10,50,0,7.272
10,5,20,10,50,0.1,9.244
10,5,20,10,50,0.2,9.756
10,5,20,10,50,0.3,10.398
10,5,20,10,sqrt,0,7.696
10,5,20,10,sqrt,0.1,10.062
10,5,20,10,sqrt,0.2,10.024
10,5,20,10,sqrt,0.3,10.402
10,5,20,10,log2,0,7.648
10,5,20,10,log2,0.1,9.84
10,5,20,10,log2,0.2,10.28
10,5,20,10,log2,0.3,10.416
10,5,20,20,50,0,7.44
10,5,20,20,50,0.1,9.258
10,5,20,20,50,0.2,9.836
10,5,20,20,50,0.3,10.41
10,5,20,20,sqrt,0,7.822
10,5,20,20,sqrt,0.1,9.974
10,5,20,20,sqrt,0.2,10.206
10,5,20,20,sqrt,0.3,10.412
10,5,20,20,log2,0,7.796
10,5,20,20,log2,0.1,10.048
10,5,20,20,log2,0.2,10.12
10,5,20,20,log2,0.3,10.41
10,5,40,1,50,0,7.392
10,5,40,1,50,0.1,9.268
10,5,40,1,50,0.2,9.84
10,5,40,1,50,0.3,10.414
10,5,40,1,sqrt,0,7.784
10,5,40,1,sqrt,0.1,9.86
10,5,40,1,sqrt,0.2,10.256
10,5,40,1,sqrt,0.3,10.41
10,5,40,1,log2,0,7.776
10,5,40,1,log2,0.1,9.836
10,5,40,1,log2,0.2,10.182
10,5,40,1,log2,0.3,10.398
10,5,40,5,50,0,7.412
10,5,40,5,50,0.1,9.27
10,5,40,5,50,0.2,9.742
10,5,40,5,50,0.3,10.412
10,5,40,5,sqrt,0,7.68
10,5,40,5,sqrt,0.1,9.896
10,5,40,5,sqrt,0.2,10.14
10,5,40,5,sqrt,0.3,10.406
10,5,40,5,log2,0,7.734
10,5,40,5,log2,0.1,9.922
10,5,40,5,log2,0.2,10.184
10,5,40,5,log2,0.3,10.412
10,5,40,10,50,0,7.362
10,5,40,10,50,0.1,9.258
10,5,40,10,50,0.2,9.61
10,5,40,10,50,0.3,10.406
10,5,40,10,sqrt,0,7.802
10,5,40,10,sqrt,0.1,9.93
10,5,40,10,sqrt,0.2,10.164
10,5,40,10,sqrt,0.3,10.418
10,5,40,10,log2,0,7.76
10,5,40,10,log2,0.1,9.902
10,5,40,10,log2,0.2,10.118
10,5,40,10,log2,0.3,10.418
10,5,40,20,50,0,7.348
10,5,40,20,50,0.1,9.262
10,5,40,20,50,0.2,9.572
10,5,40,20,50,0.3,10.402
10,5,40,20,sqrt,0,7.824
10,5,40,20,sqrt,0.1,9.748
10,5,40,20,sqrt,0.2,10.248
10,5,40,20,sqrt,0.3,10.418
10,5,40,20,log2,0,7.834
10,5,40,20,log2,0.1,9.942
10,5,40,20,log2,0.2,10.18
10,5,40,20,log2,0.3,10.408
10,10,2,1,50,0,6.304
10,10,2,1,50,0.1,9.264
10,10,2,1,50,0.2,9.856
10,10,2,1,50,0.3,10.406
10,10,2,1,sqrt,0,6.548
10,10,2,1,sqrt,0.1,9.896
10,10,2,1,sqrt,0.2,10.152
10,10,2,1,sqrt,0.3,10.406
10,10,2,1,log2,0,6.598
10,10,2,1,log2,0.1,9.83
10,10,2,1,log2,0.2,10.122
10,10,2,1,log2,0.3,10.408
10,10,2,5,50,0,6.604
10,10,2,5,50,0.1,9.286
10,10,2,5,50,0.2,9.638
10,10,2,5,50,0.3,10.408
10,10,2,5,sqrt,0,6.952
10,10,2,5,sqrt,0.1,9.896
10,10,2,5,sqrt,0.2,10.16
10,10,2,5,sqrt,0.3,10.414
10,10,2,5,log2,0,7
10,10,2,5,log2,0.1,9.858
10,10,2,5,log2,0.2,10.208
10,10,2,5,log2,0.3,10.406
10,10,2,10,50,0,6.78
10,10,2,10,50,0.1,9.264
10,10,2,10,50,0.2,9.838
10,10,2,10,50,0.3,10.412
10,10,2,10,sqrt,0,7.092
10,10,2,10,sqrt,0.1,9.926
10,10,2,10,sqrt,0.2,10.142
10,10,2,10,sqrt,0.3,10.394
10,10,2,10,log2,0,7.114
10,10,2,10,log2,0.1,9.714
10,10,2,10,log2,0.2,10.218
10,10,2,10,log2,0.3,10.402
10,10,2,20,50,0,7.164
10,10,2,20,50,0.1,9.244
10,10,2,20,50,0.2,9.814
10,10,2,20,50,0.3,10.392
10,10,2,20,sqrt,0,7.484
10,10,2,20,sqrt,0.1,9.936
10,10,2,20,sqrt,0.2,10.224
10,10,2,20,sqrt,0.3,10.402
10,10,2,20,log2,0,7.444
10,10,2,20,log2,0.1,9.866
10,10,2,20,log2,0.2,10.052
10,10,2,20,log2,0.3,10.406
10,10,6,1,50,0,6.4
10,10,6,1,50,0.1,9.252
10,10,6,1,50,0.2,9.712
10,10,6,1,50,0.3,10.408
10,10,6,1,sqrt,0,6.86
10,10,6,1,sqrt,0.1,9.708
10,10,6,1,sqrt,0.2,10.15
10,10,6,1,sqrt,0.3,10.4
10,10,6,1,log2,0,6.754
10,10,6,1,log2,0.1,9.914
10,10,6,1,log2,0.2,10.134
10,10,6,1,log2,0.3,10.396
10,10,6,5,50,0,6.522
10,10,6,5,50,0.1,9.272
10,10,6,5,50,0.2,9.798
10,10,6,5,50,0.3,10.42
10,10,6,5,sqrt,0,6.86
10,10,6,5,sqrt,0.1,9.874
10,10,6,5,sqrt,0.2,10.158
10,10,6,5,sqrt,0.3,10.412
10,10,6,5,log2,0,6.924
10,10,6,5,log2,0.1,10.11
10,10,6,5,log2,0.2,10.21
10,10,6,5,log2,0.3,10.406
10,10,6,10,50,0,6.802
10,10,6,10,50,0.1,9.292
10,10,6,10,50,0.2,9.68
10,10,6,10,50,0.3,10.412
10,10,6,10,sqrt,0,7.17
10,10,6,10,sqrt,0.1,9.74
10,10,6,10,sqrt,0.2,10.172
10,10,6,10,sqrt,0.3,10.408
10,10,6,10,log2,0,7.118
10,10,6,10,log2,0.1,9.908
10,10,6,10,log2,0.2,10.284
10,10,6,10,log2,0.3,10.404
10,10,6,20,50,0,7.148
10,10,6,20,50,0.1,9.27
10,10,6,20,50,0.2,9.73
10,10,6,20,50,0.3,10.394
10,10,6,20,sqrt,0,7.462
10,10,6,20,sqrt,0.1,9.872
10,10,6,20,sqrt,0.2,10.266
10,10,6,20,sqrt,0.3,10.414
10,10,6,20,log2,0,7.506
10,10,6,20,log2,0.1,9.944
10,10,6,20,log2,0.2,10.258
10,10,6,20,log2,0.3,10.412
10,10,10,1,50,0,6.596
10,10,10,1,50,0.1,9.262
10,10,10,1,50,0.2,9.788
10,10,10,1,50,0.3,10.416
10,10,10,1,sqrt,0,6.778
10,10,10,1,sqrt,0.1,9.838
10,10,10,1,sqrt,0.2,10.096
10,10,10,1,sqrt,0.3,10.406
10,10,10,1,log2,0,6.818
10,10,10,1,log2,0.1,9.782
10,10,10,1,log2,0.2,10.234
10,10,10,1,log2,0.3,10.406
10,10,10,5,50,0,6.552
10,10,10,5,50,0.1,9.266
10,10,10,5,50,0.2,9.686
10,10,10,5,50,0.3,10.4
10,10,10,5,sqrt,0,6.876
10,10,10,5,sqrt,0.1,9.886
10,10,10,5,sqrt,0.2,10.104
10,10,10,5,sqrt,0.3,10.41
10,10,10,5,log2,0,6.854
10,10,10,5,log2,0.1,9.924
10,10,10,5,log2,0.2,10.074
10,10,10,5,log2,0.3,10.396
10,10,10,10,50,0,6.766
10,10,10,10,50,0.1,9.244
10,10,10,10,50,0.2,9.738
10,10,10,10,50,0.3,10.404
10,10,10,10,sqrt,0,7.23
10,10,10,10,sqrt,0.1,9.824
10,10,10,10,sqrt,0.2,10.132
10,10,10,10,sqrt,0.3,10.406
10,10,10,10,log2,0,7.184
10,10,10,10,log2,0.1,9.914
10,10,10,10,log2,0.2,10.176
10,10,10,10,log2,0.3,10.412
10,10,10,20,50,0,7.17
10,10,10,20,50,0.1,9.3
10,10,10,20,50,0.2,9.748
10,10,10,20,50,0.3,10.41
10,10,10,20,sqrt,0,7.492
10,10,10,20,sqrt,0.1,9.976
10,10,10,20,sqrt,0.2,10.22
10,10,10,20,sqrt,0.3,10.412
10,10,10,20,log2,0,7.542
10,10,10,20,log2,0.1,9.83
10,10,10,20,log2,0.2,10.192
10,10,10,20,log2,0.3,10.404
10,10,20,1,50,0,6.744
10,10,20,1,50,0.1,9.264
10,10,20,1,50,0.2,9.696
10,10,20,1,50,0.3,10.406
10,10,20,1,sqrt,0,6.996
10,10,20,1,sqrt,0.1,9.988
10,10,20,1,sqrt,0.2,10.248
10,10,20,1,sqrt,0.3,10.412
10,10,20,1,log2,0,6.988
10,10,20,1,log2,0.1,9.938
10,10,20,1,log2,0.2,10.11
10,10,20,1,log2,0.3,10.4
10,10,20,5,50,0,6.734
10,10,20,5,50,0.1,9.262
10,10,20,5,50,0.2,9.78
10,10,20,5,50,0.3,10.41
10,10,20,5,sqrt,0,7.002
10,10,20,5,sqrt,0.1,9.732
10,10,20,5,sqrt,0.2,10.18
10,10,20,5,sqrt,0.3,10.402
10,10,20,5,log2,0,7.028
10,10,20,5,log2,0.1,9.892
10,10,20,5,log2,0.2,10.26
10,10,20,5,log2,0.3,10.406
10,10,20,10,50,0,6.844
10,10,20,10,50,0.1,9.26
10,10,20,10,50,0.2,9.722
10,10,20,10,50,0.3,10.406
10,10,20,10,sqrt,0,7.104
10,10,20,10,sqrt,0.1,9.976
10,10,20,10,sqrt,0.2,10.288
10,10,20,10,sqrt,0.3,10.404
10,10,20,10,log2,0,7.084
10,10,20,10,log2,0.1,9.882
10,10,20,10,log2,0.2,10.26
10,10,20,10,log2,0.3,10.416
10,10,20,20,50,0,7.098
10,10,20,20,50,0.1,9.27
10,10,20,20,50,0.2,9.796
10,10,20,20,50,0.3,10.412
10,10,20,20,sqrt,0,7.558
10,10,20,20,sqrt,0.1,10.038
10,10,20,20,sqrt,0.2,10.22
10,10,20,20,sqrt,0.3,10.408
10,10,20,20,log2,0,7.5
10,10,20,20,log2,0.1,10.01
10,10,20,20,log2,0.2,10.118
10,10,20,20,log2,0.3,10.418
10,10,40,1,50,0,7.012
10,10,40,1,50,0.1,9.284
10,10,40,1,50,0.2,9.796
10,10,40,1,50,0.3,10.4
10,10,40,1,sqrt,0,7.358
10,10,40,1,sqrt,0.1,9.92
10,10,40,1,sqrt,0.2,10.13
10,10,40,1,sqrt,0.3,10.406
10,10,40,1,log2,0,7.31
10,10,40,1,log2,0.1,9.984
10,10,40,1,log2,0.2,10.184
10,10,40,1,log2,0.3,10.41
10,10,40,5,50,0,7.07
10,10,40,5,50,0.1,9.272
10,10,40,5,50,0.2,9.688
10,10,40,5,50,0.3,10.416
10,10,40,5,sqrt,0,7.328
10,10,40,5,sqrt,0.1,9.832
10,10,40,5,sqrt,0.2,10.206
10,10,40,5,sqrt,0.3,10.42
10,10,40,5,log2,0,7.334
10,10,40,5,log2,0.1,9.922
10,10,40,5,log2,0.2,10.158
10,10,40,5,log2,0.3,10.408
10,10,40,10,50,0,7.066
10,10,40,10,50,0.1,9.278
10,10,40,10,50,0.2,9.794
10,10,40,10,50,0.3,10.41
10,10,40,10,sqrt,0,7.35
10,10,40,10,sqrt,0.1,9.862
10,10,40,10,sqrt,0.2,10.182
10,10,40,10,sqrt,0.3,10.416
10,10,40,10,log2,0,7.216
10,10,40,10,log2,0.1,10.042
10,10,40,10,log2,0.2,10.324
10,10,40,10,log2,0.3,10.408
10,10,40,20,50,0,7.202
10,10,40,20,50,0.1,9.262
10,10,40,20,50,0.2,9.67
10,10,40,20,50,0.3,10.4
10,10,40,20,sqrt,0,7.396
10,10,40,20,sqrt,0.1,10.142
10,10,40,20,sqrt,0.2,10.176
10,10,40,20,sqrt,0.3,10.398
10,10,40,20,log2,0,7.494
10,10,40,20,log2,0.1,9.908
10,10,40,20,log2,0.2,10.198
10,10,40,20,log2,0.3,10.402
10,20,2,1,50,0,6.056
10,20,2,1,50,0.1,9.26
10,20,2,1,50,0.2,9.702
10,20,2,1,50,0.3,10.396
10,20,2,1,sqrt,0,6.028
10,20,2,1,sqrt,0.1,9.728
10,20,2,1,sqrt,0.2,10.188
10,20,2,1,sqrt,0.3,10.396
10,20,2,1,log2,0,6.09
10,20,2,1,log2,0.1,9.748
10,20,2,1,log2,0.2,10.244
10,20,2,1,log2,0.3,10.402
10,20,2,5,50,0,6.48
10,20,2,5,50,0.1,9.276
10,20,2,5,50,0.2,9.768
10,20,2,5,50,0.3,10.408
10,20,2,5,sqrt,0,6.828
10,20,2,5,sqrt,0.1,9.85
10,20,2,5,sqrt,0.2,10.158
10,20,2,5,sqrt,0.3,10.414
10,20,2,5,log2,0,6.782
10,20,2,5,log2,0.1,9.99
10,20,2,5,log2,0.2,10.222
10,20,2,5,log2,0.3,10.398
10,20,2,10,50,0,6.882
10,20,2,10,50,0.1,9.266
10,20,2,10,50,0.2,9.698
10,20,2,10,50,0.3,10.406
10,20,2,10,sqrt,0,7.116
10,20,2,10,sqrt,0.1,10.032
10,20,2,10,sqrt,0.2,10.136
10,20,2,10,sqrt,0.3,10.41
10,20,2,10,log2,0,7.146
10,20,2,10,log2,0.1,9.942
10,20,2,10,log2,0.2,10.084
10,20,2,10,log2,0.3,10.404
10,20,2,20,50,0,7.19
10,20,2,20,50,0.1,9.26
10,20,2,20,50,0.2,9.752
10,20,2,20,50,0.3,10.402
10,20,2,20,sqrt,0,7.532
10,20,2,20,sqrt,0.1,10.012
10,20,2,20,sqrt,0.2,10.12
10,20,2,20,sqrt,0.3,10.414
10,20,2,20,log2,0,7.556
10,20,2,20,log2,0.1,9.836
10,20,2,20,log2,0.2,10.294
10,20,2,20,log2,0.3,10.406
10,20,6,1,50,0,6.172
10,20,6,1,50,0.1,9.258
10,20,6,1,50,0.2,9.892
10,20,6,1,50,0.3,10.402
10,20,6,1,sqrt,0,6.338
10,20,6,1,sqrt,0.1,9.83
10,20,6,1,sqrt,0.2,10.176
10,20,6,1,sqrt,0.3,10.412
10,20,6,1,log2,0,6.456
10,20,6,1,log2,0.1,9.968
10,20,6,1,log2,0.2,10.13
10,20,6,1,log2,0.3,10.418
10,20,6,5,50,0,6.444
10,20,6,5,50,0.1,9.274
10,20,6,5,50,0.2,9.898
10,20,6,5,50,0.3,10.404
10,20,6,5,sqrt,0,6.79
10,20,6,5,sqrt,0.1,9.8
10,20,6,5,sqrt,0.2,10.204
10,20,6,5,sqrt,0.3,10.41
10,20,6,5,log2,0,6.84
10,20,6,5,log2,0.1,9.982
10,20,6,5,log2,0.2,10.31
10,20,6,5,log2,0.3,10.402
10,20,6,10,50,0,6.866
10,20,6,10,50,0.1,9.282
10,20,6,10,50,0.2,9.774
10,20,6,10,50,0.3,10.396
10,20,6,10,sqrt,0,7.192
10,20,6,10,sqrt,0.1,9.836
10,20,6,10,sqrt,0.2,10.206
10,20,6,10,sqrt,0.3,10.412
10,20,6,10,log2,0,7.138
10,20,6,10,log2,0.1,9.886
10,20,6,10,log2,0.2,10.166
10,20,6,10,log2,0.3,10.402
10,20,6,20,50,0,7.186
10,20,6,20,50,0.1,9.258
10,20,6,20,50,0.2,9.694
10,20,6,20,50,0.3,10.404
10,20,6,20,sqrt,0,7.466
10,20,6,20,sqrt,0.1,9.86
10,20,6,20,sqrt,0.2,10.166
10,20,6,20,sqrt,0.3,10.402
10,20,6,20,log2,0,7.42
10,20,6,20,log2,0.1,9.948
10,20,6,20,log2,0.2,10.148
10,20,6,20,log2,0.3,10.406
10,20,10,1,50,0,6.368
10,20,10,1,50,0.1,9.246
10,20,10,1,50,0.2,9.758
10,20,10,1,50,0.3,10.408
10,20,10,1,sqrt,0,6.676
10,20,10,1,sqrt,0.1,9.998
10,20,10,1,sqrt,0.2,10.288
10,20,10,1,sqrt,0.3,10.41
10,20,10,1,log2,0,6.666
10,20,10,1,log2,0.1,9.928
10,20,10,1,log2,0.2,10.118
10,20,10,1,log2,0.3,10.398
10,20,10,5,50,0,6.436
10,20,10,5,50,0.1,9.252
10,20,10,5,50,0.2,9.768
10,20,10,5,50,0.3,10.396
10,20,10,5,sqrt,0,6.732
10,20,10,5,sqrt,0.1,9.798
10,20,10,5,sqrt,0.2,10.194
10,20,10,5,sqrt,0.3,10.412
10,20,10,5,log2,0,6.818
10,20,10,5,log2,0.1,9.858
10,20,10,5,log2,0.2,10.258
10,20,10,5,log2,0.3,10.392
10,20,10,10,50,0,6.852
10,20,10,10,50,0.1,9.26
10,20,10,10,50,0.2,9.608
10,20,10,10,50,0.3,10.406
10,20,10,10,sqrt,0,7.152
10,20,10,10,sqrt,0.1,9.874
10,20,10,10,sqrt,0.2,10.176
10,20,10,10,sqrt,0.3,10.404
10,20,10,10,log2,0,7.09
10,20,10,10,log2,0.1,9.892
10,20,10,10,log2,0.2,10.252
10,20,10,10,log2,0.3,10.402
10,20,10,20,50,0,7.154
10,20,10,20,50,0.1,9.292
10,20,10,20,50,0.2,9.784
10,20,10,20,50,0.3,10.41
10,20,10,20,sqrt,0,7.454
10,20,10,20,sqrt,0.1,9.86
10,20,10,20,sqrt,0.2,10.272
10,20,10,20,sqrt,0.3,10.41
10,20,10,20,log2,0,7.498
10,20,10,20,log2,0.1,9.894
10,20,10,20,log2,0.2,10.204
10,20,10,20,log2,0.3,10.416
10,20,20,1,50,0,6.66
10,20,20,1,50,0.1,9.264
10,20,20,1,50,0.2,9.704
10,20,20,1,50,0.3,10.418
10,20,20,1,sqrt,0,6.872
10,20,20,1,sqrt,0.1,9.898
10,20,20,1,sqrt,0.2,10.284
