alpha,fit_intercept,copy_X,max_iter,tol,solver,MMRE-
0.001,True,True,50000,0.1,svd,13.815199999999999
0.001,True,True,50000,0.1,cholesky,13.815199999999999
0.001,True,True,50000,0.1,lsqr,35.81928
0.001,True,True,50000,0.1,sparse_cg,35.81928
0.001,True,True,50000,0.1,sag,39.68812
0.001,True,True,50000,0.1,saga,35.81544
0.001,True,False,5000,0.0001,auto,13.815199999999999
0.001,True,False,5000,0.0001,svd,13.815199999999999
0.001,True,False,5000,0.0001,cholesky,13.815199999999999
0.001,True,False,5000,0.0001,lsqr,35.81928
0.001,True,False,5000,0.0001,sparse_cg,35.81928
0.001,True,False,5000,0.0001,sag,35.819300000000005
0.001,True,False,5000,0.0001,saga,35.81928
0.001,True,False,5000,0.001,auto,13.815199999999999
0.001,True,False,5000,0.001,svd,13.815199999999999
0.001,True,False,5000,0.001,cholesky,13.815199999999999
0.001,True,False,5000,0.001,lsqr,35.81928
0.001,True,False,5000,0.001,sparse_cg,35.81928
0.001,True,False,5000,0.001,sag,35.8194
0.001,True,False,5000,0.001,saga,35.81926
0.001,True,False,5000,0.01,auto,13.815199999999999
0.001,True,False,5000,0.01,svd,13.815199999999999
0.001,True,False,5000,0.01,cholesky,13.815199999999999
0.001,True,False,5000,0.01,lsqr,35.81928
0.001,True,False,5000,0.01,sparse_cg,35.81928
0.001,True,False,5000,0.01,sag,35.818380000000005
0.001,True,False,5000,0.01,saga,35.81644
0.001,True,False,5000,0.1,auto,13.815199999999999
0.001,True,False,5000,0.1,svd,13.815199999999999
0.001,True,False,5000,0.1,cholesky,13.815199999999999
0.001,True,False,5000,0.1,lsqr,35.81928
0.001,True,False,5000,0.1,sparse_cg,35.81928
0.001,True,False,5000,0.1,sag,36.50038
0.001,True,False,5000,0.1,saga,35.82212
0.001,True,False,15000,0.0001,auto,13.815199999999999
0.001,True,False,15000,0.0001,svd,13.815199999999999
0.001,True,False,15000,0.0001,cholesky,13.815199999999999
0.001,True,False,15000,0.0001,lsqr,35.81928
0.001,True,False,15000,0.0001,sparse_cg,35.81928
0.001,True,False,15000,0.0001,sag,35.819300000000005
0.001,True,False,15000,0.0001,saga,35.819300000000005
0.001,True,False,15000,0.001,auto,13.815199999999999
0.001,True,False,15000,0.001,svd,13.815199999999999
0.001,True,False,15000,0.001,cholesky,13.815199999999999
0.001,True,False,15000,0.001,lsqr,35.81928
0.001,True,False,15000,0.001,sparse_cg,35.81928
0.001,True,False,15000,0.001,sag,35.819199999999995
0.001,True,False,15000,0.001,saga,35.819300000000005
0.001,True,False,15000,0.01,auto,13.815199999999999
0.001,True,False,15000,0.01,svd,13.815199999999999
0.001,True,False,15000,0.01,cholesky,13.815199999999999
0.001,True,False,15000,0.01,lsqr,35.81928
0.001,True,False,15000,0.01,sparse_cg,35.81928
0.001,True,False,15000,0.01,sag,35.817780000000006
0.001,True,False,15000,0.01,saga,35.81928
0.001,True,False,15000,0.1,auto,13.815199999999999
0.001,True,False,15000,0.1,svd,13.815199999999999
0.001,True,False,15000,0.1,cholesky,13.815199999999999
0.001,True,False,15000,0.1,lsqr,35.81928
0.001,True,False,15000,0.1,sparse_cg,35.81928
0.001,True,False,15000,0.1,sag,36.27192
0.001,True,False,15000,0.1,saga,35.867839999999994
0.001,True,False,20000,0.0001,auto,13.815199999999999
0.001,True,False,20000,0.0001,svd,13.815199999999999
0.001,True,False,20000,0.0001,cholesky,13.815199999999999
0.001,True,False,20000,0.0001,lsqr,35.81928
0.001,True,False,20000,0.0001,sparse_cg,35.81928
0.001,True,False,20000,0.0001,sag,35.819300000000005
0.001,True,False,20000,0.0001,saga,35.819300000000005
0.001,True,False,20000,0.001,auto,13.815199999999999
0.001,True,False,20000,0.001,svd,13.815199999999999
0.001,True,False,20000,0.001,cholesky,13.815199999999999
0.001,True,False,20000,0.001,lsqr,35.81928
0.001,True,False,20000,0.001,sparse_cg,35.81928
0.001,True,False,20000,0.001,sag,35.81928
0.001,True,False,20000,0.001,saga,35.81926
0.001,True,False,20000,0.01,auto,13.815199999999999
0.001,True,False,20000,0.01,svd,13.815199999999999
0.001,True,False,20000,0.01,cholesky,13.815199999999999
0.001,True,False,20000,0.01,lsqr,35.81928
0.001,True,False,20000,0.01,sparse_cg,35.81928
0.001,True,False,20000,0.01,sag,35.83278
0.001,True,False,20000,0.01,saga,35.81912
0.001,True,False,20000,0.1,auto,13.815199999999999
0.001,True,False,20000,0.1,svd,13.815199999999999
0.001,True,False,20000,0.1,cholesky,13.815199999999999
0.001,True,False,20000,0.1,lsqr,35.81928
0.001,True,False,20000,0.1,sparse_cg,35.81928
0.001,True,False,20000,0.1,sag,35.96276
0.001,True,False,20000,0.1,saga,35.82576
0.001,True,False,50000,0.0001,auto,13.815199999999999
0.001,True,False,50000,0.0001,svd,13.815199999999999
0.001,True,False,50000,0.0001,cholesky,13.815199999999999
0.001,True,False,50000,0.0001,lsqr,35.81928
0.001,True,False,50000,0.0001,sparse_cg,35.81928
0.001,True,False,50000,0.0001,sag,35.819300000000005
0.001,True,False,50000,0.0001,saga,35.819300000000005
0.001,True,False,50000,0.001,auto,13.815199999999999
0.001,True,False,50000,0.001,svd,13.815199999999999
0.001,True,False,50000,0.001,cholesky,13.815199999999999
0.001,True,False,50000,0.001,lsqr,35.81928
0.001,True,False,50000,0.001,sparse_cg,35.81928
0.001,True,False,50000,0.001,sag,35.81932
0.001,True,False,50000,0.001,saga,35.818760000000005
0.001,True,False,50000,0.01,auto,13.815199999999999
0.001,True,False,50000,0.01,svd,13.815199999999999
0.001,True,False,50000,0.01,cholesky,13.815199999999999
0.001,True,False,50000,0.01,lsqr,35.81928
0.001,True,False,50000,0.01,sparse_cg,35.81928
0.001,True,False,50000,0.01,sag,35.82075999999999
0.001,True,False,50000,0.01,saga,35.81906
