Learning_rate,N_estimators,Min_samples_split,Min_samples_leaf,Max_depth,MMRE-
0.001,30,10,10,20,612.76672
0.001,30,10,10,30,612.76672
0.001,30,10,10,100,612.76672
0.001,30,10,20,5,612.78072
0.001,30,10,20,10,612.77702
0.001,30,10,20,20,612.7769000000001
0.001,30,10,20,30,612.7769000000001
0.001,30,10,20,100,612.7769000000001
0.001,30,20,1,5,612.77106
0.001,30,20,1,10,612.76376
0.001,30,20,1,20,612.7636
0.001,30,20,1,30,612.7636
0.001,30,20,1,100,612.7636
0.001,30,20,5,5,612.77254
0.001,30,20,5,10,612.76572
0.001,30,20,5,20,612.76548
0.001,30,20,5,30,612.76548
0.001,30,20,5,100,612.76548
0.001,30,20,10,5,612.77358
0.001,30,20,10,10,612.7666200000001
0.001,30,20,10,20,612.76672
0.001,30,20,10,30,612.76672
0.001,30,20,10,100,612.76672
0.001,30,20,20,5,612.78072
0.001,30,20,20,10,612.77702
0.001,30,20,20,20,612.7769000000001
0.001,30,20,20,30,612.7769000000001
0.001,30,20,20,100,612.7769000000001
0.001,30,40,1,5,612.7717799999999
0.001,30,40,1,10,612.76548
0.001,30,40,1,20,612.7654
0.001,30,40,1,30,612.7654
0.001,30,40,1,100,612.7654
0.001,30,40,5,5,612.7727000000001
0.001,30,40,5,10,612.7661599999999
0.001,30,40,5,20,612.7661
0.001,30,40,5,30,612.7661
0.001,30,40,5,100,612.7661
0.001,30,40,10,5,612.7733000000001
0.001,30,40,10,10,612.76726
0.001,30,40,10,20,612.76722
0.001,30,40,10,30,612.76722
0.001,30,40,10,100,612.76722
0.001,30,40,20,5,612.78072
0.001,30,40,20,10,612.77702
0.001,30,40,20,20,612.7769000000001
0.001,30,40,20,30,612.7769000000001
0.001,30,40,20,100,612.7769000000001
0.001,50,2,1,5,600.64358
0.001,50,2,1,10,600.6269
0.001,50,2,1,20,600.6295400000001
0.001,50,2,1,30,600.6294
0.001,50,2,1,100,600.6294399999999
0.001,50,2,5,5,600.64708
0.001,50,2,5,10,600.63392
0.001,50,2,5,20,600.63442
0.001,50,2,5,30,600.63442
0.001,50,2,5,100,600.63442
0.001,50,2,10,5,600.64914
0.001,50,2,10,10,600.6376
0.001,50,2,10,20,600.63766
0.001,50,2,10,30,600.63766
0.001,50,2,10,100,600.63766
0.001,50,2,20,5,600.6608
0.001,50,2,20,10,600.6545600000001
0.001,50,2,20,20,600.6543800000001
0.001,50,2,20,30,600.6543800000001
0.001,50,2,20,100,600.6543800000001
0.001,50,6,1,5,600.6429999999999
0.001,50,6,1,10,600.6265999999999
0.001,50,6,1,20,600.6275800000001
0.001,50,6,1,30,600.6275800000001
0.001,50,6,1,100,600.6275800000001
0.001,50,6,5,5,600.64708
0.001,50,6,5,10,600.63392
0.001,50,6,5,20,600.63442
0.001,50,6,5,30,600.63442
0.001,50,6,5,100,600.63442
0.001,50,6,10,5,600.64914
0.001,50,6,10,10,600.6376
0.001,50,6,10,20,600.63766
0.001,50,6,10,30,600.63766
0.001,50,6,10,100,600.63766
0.001,50,6,20,5,600.6608
0.001,50,6,20,10,600.6545600000001
0.001,50,6,20,20,600.6543800000001
0.001,50,6,20,30,600.6543800000001
0.001,50,6,20,100,600.6543800000001
0.001,50,10,1,5,600.64418
0.001,50,10,1,10,600.63008
0.001,50,10,1,20,600.6311199999999
0.001,50,10,1,30,600.6311199999999
0.001,50,10,1,100,600.6311199999999
0.001,50,10,5,5,600.64708
0.001,50,10,5,10,600.63392
0.001,50,10,5,20,600.63442
0.001,50,10,5,30,600.63442
0.001,50,10,5,100,600.63442
0.001,50,10,10,5,600.64914
0.001,50,10,10,10,600.6376
0.001,50,10,10,20,600.63766
0.001,50,10,10,30,600.63766
0.001,50,10,10,100,600.63766
0.001,50,10,20,5,600.6608
0.001,50,10,20,10,600.6545600000001
0.001,50,10,20,20,600.6543800000001
0.001,50,10,20,30,600.6543800000001
0.001,50,10,20,100,600.6543800000001
0.001,50,20,1,5,600.64496
0.001,50,20,1,10,600.63234
0.001,50,20,1,20,600.6319599999999
0.001,50,20,1,30,600.6319599999999
0.001,50,20,1,100,600.6319599999999
0.001,50,20,5,5,600.6473599999999
0.001,50,20,5,10,600.63562
0.001,50,20,5,20,600.63516
0.001,50,20,5,30,600.63516
0.001,50,20,5,100,600.63516
0.001,50,20,10,5,600.64914
0.001,50,20,10,10,600.6376
0.001,50,20,10,20,600.63766
0.001,50,20,10,30,600.63766
0.001,50,20,10,100,600.63766
0.001,50,20,20,5,600.6608
0.001,50,20,20,10,600.6545600000001
0.001,50,20,20,20,600.6543800000001
0.001,50,20,20,30,600.6543800000001
0.001,50,20,20,100,600.6543800000001
0.001,50,40,1,5,600.64612
0.001,50,40,1,10,600.6356399999999
0.001,50,40,1,20,600.6356
0.001,50,40,1,30,600.6356
0.001,50,40,1,100,600.6356
0.001,50,40,5,5,600.64766
0.001,50,40,5,10,600.63674
0.001,50,40,5,20,600.6367
0.001,50,40,5,30,600.6367
0.001,50,40,5,100,600.6367
0.001,50,40,10,5,600.6487199999999
0.001,50,40,10,10,600.6385600000001
0.001,50,40,10,20,600.6386
0.001,50,40,10,30,600.6386
0.001,50,40,10,100,600.6386
0.001,50,40,20,5,600.6608
0.001,50,40,20,10,600.6545600000001
0.001,50,40,20,20,600.6543800000001
0.001,50,40,20,30,600.6543800000001
0.001,50,40,20,100,600.6543800000001
0.001,100,2,1,5,571.3691999999999
0.001,100,2,1,10,571.3357400000001
0.001,100,2,1,20,571.34072
0.001,100,2,1,30,571.3405
0.001,100,2,1,100,571.34056
0.001,100,2,5,5,571.37616
0.001,100,2,5,10,571.3502599999999
0.001,100,2,5,20,571.35108
0.001,100,2,5,30,571.35108
0.001,100,2,5,100,571.35108
0.001,100,2,10,5,571.38016
0.001,100,2,10,10,571.3571
0.001,100,2,10,20,571.3573
0.001,100,2,10,30,571.3573
0.001,100,2,10,100,571.3573
0.001,100,2,20,5,571.40228
0.001,100,2,20,10,571.38886
0.001,100,2,20,20,571.38848
0.001,100,2,20,30,571.38848
0.001,100,2,20,100,571.38848
0.001,100,6,1,5,571.36804
0.001,100,6,1,10,571.3361
0.001,100,6,1,20,571.3391200000001
0.001,100,6,1,30,571.3391200000001
0.001,100,6,1,100,571.3391200000001
0.001,100,6,5,5,571.37616
0.001,100,6,5,10,571.3502599999999
0.001,100,6,5,20,571.35108
0.001,100,6,5,30,571.35108
0.001,100,6,5,100,571.35108
0.001,100,6,10,5,571.38016
0.001,100,6,10,10,571.3571
0.001,100,6,10,20,571.3573
0.001,100,6,10,30,571.3573
0.001,100,6,10,100,571.3573
0.001,100,6,20,5,571.40228
0.001,100,6,20,10,571.38886
0.001,100,6,20,20,571.38848
0.001,100,6,20,30,571.38848
0.001,100,6,20,100,571.38848
0.001,100,10,1,5,571.3704
0.001,100,10,1,10,571.3415400000001
0.001,100,10,1,20,571.3425
0.001,100,10,1,30,571.3425
0.001,100,10,1,100,571.3425
0.001,100,10,5,5,571.37616
0.001,100,10,5,10,571.3502599999999
0.001,100,10,5,20,571.35108
0.001,100,10,5,30,571.35108
0.001,100,10,5,100,571.35108
