Alpha,fit_intercept,copy_X,Max_iter,Tol,solver,MMRE-
0.001,True,True,15000,0.1,auto,147.43225999999999
0.001,True,True,15000,0.1,svd,147.43225999999999
0.001,True,True,15000,0.1,cholesky,147.43225999999999
0.001,True,True,15000,0.1,lsqr,146.76680000000002
0.001,True,True,15000,0.1,sparse_cg,148.351
0.001,True,True,15000,0.1,sag,145.70947999999999
0.001,True,True,15000,0.1,saga,150.37545999999998
0.001,True,True,20000,0.0001,auto,147.43225999999999
0.001,True,True,20000,0.0001,svd,147.43225999999999
0.001,True,True,20000,0.0001,cholesky,147.43225999999999
0.001,True,True,20000,0.0001,lsqr,147.43022000000002
0.001,True,True,20000,0.0001,sparse_cg,147.43022000000002
0.001,True,True,20000,0.0001,sag,147.42418
0.001,True,True,20000,0.0001,saga,147.43089999999998
0.001,True,True,20000,0.001,auto,147.43225999999999
0.001,True,True,20000,0.001,svd,147.43225999999999
0.001,True,True,20000,0.001,cholesky,147.43225999999999
0.001,True,True,20000,0.001,lsqr,147.44986
0.001,True,True,20000,0.001,sparse_cg,147.44986
0.001,True,True,20000,0.001,sag,147.37413999999998
0.001,True,True,20000,0.001,saga,147.45693999999997
0.001,True,True,20000,0.01,auto,147.43225999999999
0.001,True,True,20000,0.01,svd,147.43225999999999
0.001,True,True,20000,0.01,cholesky,147.43225999999999
0.001,True,True,20000,0.01,lsqr,147.21318
0.001,True,True,20000,0.01,sparse_cg,147.16642
0.001,True,True,20000,0.01,sag,147.32842
0.001,True,True,20000,0.01,saga,147.72949999999997
0.001,True,True,20000,0.1,auto,147.43225999999999
0.001,True,True,20000,0.1,svd,147.43225999999999
0.001,True,True,20000,0.1,cholesky,147.43225999999999
0.001,True,True,20000,0.1,lsqr,146.76680000000002
0.001,True,True,20000,0.1,sparse_cg,148.351
0.001,True,True,20000,0.1,sag,141.17756
0.001,True,True,20000,0.1,saga,148.18937999999997
0.001,True,True,50000,0.0001,auto,147.43225999999999
0.001,True,True,50000,0.0001,svd,147.43225999999999
0.001,True,True,50000,0.0001,cholesky,147.43225999999999
0.001,True,True,50000,0.0001,lsqr,147.43022000000002
0.001,True,True,50000,0.0001,sparse_cg,147.43022000000002
0.001,True,True,50000,0.0001,sag,147.40375999999998
0.001,True,True,50000,0.0001,saga,147.43321999999998
0.001,True,True,50000,0.001,auto,147.43225999999999
0.001,True,True,50000,0.001,svd,147.43225999999999
0.001,True,True,50000,0.001,cholesky,147.43225999999999
0.001,True,True,50000,0.001,lsqr,147.44986
0.001,True,True,50000,0.001,sparse_cg,147.44986
0.001,True,True,50000,0.001,sag,147.31584
0.001,True,True,50000,0.001,saga,147.48418
0.001,True,True,50000,0.01,auto,147.43225999999999
0.001,True,True,50000,0.01,svd,147.43225999999999
0.001,True,True,50000,0.01,cholesky,147.43225999999999
