alpha,fit_intercept,copy_X,max_iter,tol,MMRE-
0.01,True,True,1000,0.001,99.83796
0.01,True,True,1000,0.01,99.84062
0.01,True,True,1000,0.1,99.8562
0.01,True,True,2000,1e-05,99.83793999999999
0.01,True,True,2000,0.0001,99.83795999999998
0.01,True,True,2000,0.001,99.83796
0.01,True,True,2000,0.01,99.84062
0.01,True,True,2000,0.1,99.8562
0.01,True,True,5000,1e-05,99.83793999999999
0.01,True,True,5000,0.0001,99.83795999999998
0.01,True,True,5000,0.001,99.83796
0.01,True,True,5000,0.01,99.84062
0.01,True,True,5000,0.1,99.8562
0.01,True,True,15000,1e-05,99.83793999999999
0.01,True,True,15000,0.0001,99.83795999999998
0.01,True,True,15000,0.001,99.83796
0.01,True,True,15000,0.01,99.84062
0.01,True,True,15000,0.1,99.8562
0.01,True,True,20000,1e-05,99.83793999999999
0.01,True,True,20000,0.0001,99.83795999999998
0.01,True,True,20000,0.001,99.83796
0.01,True,True,20000,0.01,99.84062
0.01,True,True,20000,0.1,99.8562
0.01,True,False,500,1e-05,99.83793999999999
0.01,True,False,500,0.0001,99.83795999999998
0.01,True,False,500,0.001,99.83796
0.01,True,False,500,0.01,99.84062
0.01,True,False,500,0.1,99.8562
0.01,True,False,1000,1e-05,99.83793999999999
0.01,True,False,1000,0.0001,99.83795999999998
0.01,True,False,1000,0.001,99.83796
0.01,True,False,1000,0.01,99.84062
0.01,True,False,1000,0.1,99.8562
0.01,True,False,2000,1e-05,99.83793999999999
0.01,True,False,2000,0.0001,99.83795999999998
0.01,True,False,2000,0.001,99.83796
0.01,True,False,2000,0.01,99.84062
0.01,True,False,2000,0.1,99.8562
0.01,True,False,5000,1e-05,99.83793999999999
0.01,True,False,5000,0.0001,99.83795999999998
0.01,True,False,5000,0.001,99.83796
0.01,True,False,5000,0.01,99.84062
0.01,True,False,5000,0.1,99.8562
0.01,True,False,15000,1e-05,99.83793999999999
0.01,True,False,15000,0.0001,99.83795999999998
0.01,True,False,15000,0.001,99.83796
0.01,True,False,15000,0.01,99.84062
0.01,True,False,15000,0.1,99.8562
0.01,True,False,20000,1e-05,99.83793999999999
0.01,True,False,20000,0.0001,99.83795999999998
0.01,True,False,20000,0.001,99.83796
0.01,True,False,20000,0.01,99.84062
0.01,True,False,20000,0.1,99.8562
0.01,False,True,500,1e-05,53.641600000000004
0.01,False,True,500,0.0001,53.64196
0.01,False,True,500,0.001,53.6438
0.01,False,True,500,0.01,53.648700000000005
0.01,False,True,500,0.1,118.64656
0.01,False,True,1000,1e-05,53.641600000000004
0.01,False,True,1000,0.0001,53.64196
0.01,False,True,1000,0.001,53.6438
0.01,False,True,1000,0.01,53.648700000000005
0.01,False,True,1000,0.1,118.64656
0.01,False,True,2000,1e-05,53.641600000000004
0.01,False,True,2000,0.0001,53.64196
0.01,False,True,2000,0.001,53.6438
0.01,False,True,2000,0.01,53.648700000000005
0.01,False,True,2000,0.1,118.64656
0.01,False,True,5000,1e-05,53.641600000000004
0.01,False,True,5000,0.0001,53.64196
0.01,False,True,5000,0.001,53.6438
0.01,False,True,5000,0.01,53.648700000000005
0.01,False,True,5000,0.1,118.64656
0.01,False,True,15000,1e-05,53.641600000000004
0.01,False,True,15000,0.0001,53.64196
0.01,False,True,15000,0.001,53.6438
