N_neighbors,weights,algorithm,Leaf_size,P,MMRE-
5,distance,ball_tree,30,2,5685.93984
5,distance,ball_tree,40,1,2853.4965599999996
5,distance,ball_tree,40,2,5685.93984
5,distance,ball_tree,50,1,2853.4965599999996
5,distance,ball_tree,50,2,5685.93984
5,distance,ball_tree,100,1,2853.4965599999996
5,distance,ball_tree,100,2,5685.93984
5,distance,kd_tree,10,1,2853.4965599999996
5,distance,kd_tree,10,2,5685.93984
5,distance,kd_tree,20,1,2853.4965599999996
5,distance,kd_tree,20,2,5685.93984
5,distance,kd_tree,30,1,2853.4965599999996
5,distance,kd_tree,30,2,5685.93984
5,distance,kd_tree,40,1,2853.4965599999996
5,distance,kd_tree,40,2,5685.93984
5,distance,kd_tree,50,1,2853.4965599999996
5,distance,kd_tree,50,2,5685.93984
5,distance,kd_tree,100,1,2853.4965599999996
5,distance,kd_tree,100,2,5685.93984
5,distance,brute,10,1,2853.4965599999996
5,distance,brute,10,2,5685.93984
5,distance,brute,20,1,2853.4965599999996
5,distance,brute,20,2,5685.93984
5,distance,brute,30,1,2853.4965599999996
5,distance,brute,30,2,5685.93984
5,distance,brute,40,1,2853.4965599999996
5,distance,brute,40,2,5685.93984
5,distance,brute,50,1,2853.4965599999996
5,distance,brute,50,2,5685.93984
5,distance,brute,100,1,2853.4965599999996
5,distance,brute,100,2,5685.93984
7,uniform,auto,10,1,2719.73054
7,uniform,auto,10,2,5249.595899999999
7,uniform,auto,20,1,2719.73054
7,uniform,auto,20,2,5249.595899999999
7,uniform,auto,30,1,2719.73054
7,uniform,auto,30,2,5249.595899999999
7,uniform,auto,40,1,2719.73054
7,uniform,auto,40,2,5249.595899999999
7,uniform,auto,50,1,2719.73054
7,uniform,auto,50,2,5249.595899999999
7,uniform,auto,100,1,2719.73054
7,uniform,auto,100,2,5249.595899999999
7,uniform,ball_tree,10,1,2719.73054
7,uniform,ball_tree,10,2,5249.595899999999
7,uniform,ball_tree,20,1,2719.73054
7,uniform,ball_tree,20,2,5249.595899999999
7,uniform,ball_tree,30,1,2719.73054
7,uniform,ball_tree,30,2,5249.595899999999
7,uniform,ball_tree,40,1,2719.73054
7,uniform,ball_tree,40,2,5249.595899999999
7,uniform,ball_tree,50,1,2719.73054
7,uniform,ball_tree,50,2,5249.595899999999
7,uniform,ball_tree,100,1,2719.73054
7,uniform,ball_tree,100,2,5249.595899999999
7,uniform,kd_tree,10,1,2719.73054
7,uniform,kd_tree,10,2,5249.595899999999
7,uniform,kd_tree,20,1,2719.73054
7,uniform,kd_tree,20,2,5249.595899999999
7,uniform,kd_tree,30,1,2719.73054
7,uniform,kd_tree,30,2,5249.595899999999
7,uniform,kd_tree,40,1,2719.73054
7,uniform,kd_tree,40,2,5249.595899999999
7,uniform,kd_tree,50,1,2719.73054
7,uniform,kd_tree,50,2,5249.595899999999
