Learning_rate,N_estimators,Min_samples_split,Min_samples_leaf,Max_depth,MMRE-
0.001,30,20,1,20,12.72064
0.001,30,20,1,30,12.72002
0.001,30,20,1,100,12.72018
0.001,30,20,5,5,12.77764
0.001,30,20,5,10,12.74196
0.001,30,20,5,20,12.73174
0.001,30,20,5,30,12.7318
0.001,30,20,5,100,12.73184
0.001,30,20,10,5,12.77792
0.001,30,20,10,10,12.74336
0.001,30,20,10,20,12.73474
0.001,30,20,10,30,12.73466
0.001,30,20,10,100,12.73462
0.001,30,20,20,5,12.77844
0.001,30,20,20,10,12.75262
0.001,30,20,20,20,12.7504
0.001,30,20,20,30,12.7504
0.001,30,20,20,100,12.7504
0.001,30,40,1,5,12.77968
0.001,30,40,1,10,12.74562
0.001,30,40,1,20,12.7385
0.001,30,40,1,30,12.73844
0.001,30,40,1,100,12.73844
0.001,30,40,5,5,12.77776
0.001,30,40,5,10,12.74852
0.001,30,40,5,20,12.7436
0.001,30,40,5,30,12.7436
0.001,30,40,5,100,12.74362
0.001,30,40,10,5,12.77822
0.001,30,40,10,10,12.7515
0.001,30,40,10,20,12.74738
0.001,30,40,10,30,12.74738
0.001,30,40,10,100,12.74738
0.001,30,40,20,5,12.77844
0.001,30,40,20,10,12.75262
0.001,30,40,20,20,12.7504
0.001,30,40,20,30,12.7504
0.001,30,40,20,100,12.7504
0.001,50,2,1,5,12.70198
0.001,50,2,1,10,12.61524
0.001,50,2,1,20,12.55574
0.001,50,2,1,30,12.55304
0.001,50,2,1,100,12.5529
0.001,50,2,5,5,12.70146
0.001,50,2,5,10,12.63784
0.001,50,2,5,20,12.6035
0.001,50,2,5,30,12.60352
0.001,50,2,5,100,12.60354
0.001,50,2,10,5,12.70016
0.001,50,2,10,10,12.64404
0.001,50,2,10,20,12.63116
0.001,50,2,10,30,12.63108
0.001,50,2,10,100,12.63104
0.001,50,2,20,5,12.70188
0.001,50,2,20,10,12.65946
0.001,50,2,20,20,12.65584
0.001,50,2,20,30,12.65584
0.001,50,2,20,100,12.65584
0.001,50,6,1,5,12.70272
0.001,50,6,1,10,12.61994
0.001,50,6,1,20,12.56542
0.001,50,6,1,30,12.5654
0.001,50,6,1,100,12.56426
0.001,50,6,5,5,12.7015
0.001,50,6,5,10,12.6379
0.001,50,6,5,20,12.60348
0.001,50,6,5,30,12.60352
0.001,50,6,5,100,12.60358
0.001,50,6,10,5,12.70016
0.001,50,6,10,10,12.64404
0.001,50,6,10,20,12.6312
0.001,50,6,10,30,12.63108
0.001,50,6,10,100,12.6311
0.001,50,6,20,5,12.70188
0.001,50,6,20,10,12.65946
0.001,50,6,20,20,12.65584
0.001,50,6,20,30,12.65584
0.001,50,6,20,100,12.65584
0.001,50,10,1,5,12.70428
0.001,50,10,1,10,12.62908
0.001,50,10,1,20,12.58616
0.001,50,10,1,30,12.58518
0.001,50,10,1,100,12.58468
0.001,50,10,5,5,12.70146
0.001,50,10,5,10,12.63788
0.001,50,10,5,20,12.60342
0.001,50,10,5,30,12.60344
0.001,50,10,5,100,12.60352
0.001,50,10,10,5,12.70018
0.001,50,10,10,10,12.64404
0.001,50,10,10,20,12.63114
0.001,50,10,10,30,12.63104
0.001,50,10,10,100,12.63108
0.001,50,10,20,5,12.70188
0.001,50,10,20,10,12.65946
0.001,50,10,20,20,12.65584
0.001,50,10,20,30,12.65584
0.001,50,10,20,100,12.65584
0.001,50,20,1,5,12.70298
0.001,50,20,1,10,12.63196
0.001,50,20,1,20,12.60396
0.001,50,20,1,30,12.60396
0.001,50,20,1,100,12.60398
0.001,50,20,5,5,12.69972
0.001,50,20,5,10,12.64166
0.001,50,20,5,20,12.6238
0.001,50,20,5,30,12.6239
0.001,50,20,5,100,12.62396
0.001,50,20,10,5,12.70016
0.001,50,20,10,10,12.64402
0.001,50,20,10,20,12.6312
0.001,50,20,10,30,12.63102
0.001,50,20,10,100,12.63102
0.001,50,20,20,5,12.70188
0.001,50,20,20,10,12.65946
0.001,50,20,20,20,12.65584
0.001,50,20,20,30,12.65584
0.001,50,20,20,100,12.65584
0.001,50,40,1,5,12.70422
0.001,50,40,1,10,12.64766
0.001,50,40,1,20,12.63488
0.001,50,40,1,30,12.6349
0.001,50,40,1,100,12.63494
0.001,50,40,5,5,12.7001
0.001,50,40,5,10,12.65222
0.001,50,40,5,20,12.64358
0.001,50,40,5,30,12.64358
0.001,50,40,5,100,12.64358
0.001,50,40,10,5,12.70082
0.001,50,40,10,10,12.65668
0.001,50,40,10,20,12.65048
0.001,50,40,10,30,12.65048
0.001,50,40,10,100,12.65048
0.001,50,40,20,5,12.70188
0.001,50,40,20,10,12.65946
0.001,50,40,20,20,12.65584
0.001,50,40,20,30,12.65584
0.001,50,40,20,100,12.65584
0.001,100,2,1,5,12.5185
0.001,100,2,1,10,12.35208
0.001,100,2,1,20,12.23868
0.001,100,2,1,30,12.23238
0.001,100,2,1,100,12.23356
0.001,100,2,5,5,12.51386
0.001,100,2,5,10,12.39152
0.001,100,2,5,20,12.3305
0.001,100,2,5,30,12.33066
0.001,100,2,5,100,12.3307
0.001,100,2,10,5,12.51466
0.001,100,2,10,10,12.40442
0.001,100,2,10,20,12.3801
0.001,100,2,10,30,12.38006
0.001,100,2,10,100,12.38008
0.001,100,2,20,5,12.5196
0.001,100,2,20,10,12.43674
0.001,100,2,20,20,12.4294
0.001,100,2,20,30,12.4294
0.001,100,2,20,100,12.4294
0.001,100,6,1,5,12.5196
0.001,100,6,1,10,12.35796
0.001,100,6,1,20,12.26214
0.001,100,6,1,30,12.25784
0.001,100,6,1,100,12.25642
0.001,100,6,5,5,12.51384
0.001,100,6,5,10,12.39146
0.001,100,6,5,20,12.33062
0.001,100,6,5,30,12.3308
0.001,100,6,5,100,12.3306
0.001,100,6,10,5,12.51466
0.001,100,6,10,10,12.4044
0.001,100,6,10,20,12.38016
0.001,100,6,10,30,12.38012
0.001,100,6,10,100,12.38002
0.001,100,6,20,5,12.5196
0.001,100,6,20,10,12.43674
0.001,100,6,20,20,12.4294
0.001,100,6,20,30,12.4294
0.001,100,6,20,100,12.4294
0.001,100,10,1,5,12.5228
0.001,100,10,1,10,12.37256
0.001,100,10,1,20,12.2966
0.001,100,10,1,30,12.2919
0.001,100,10,1,100,12.29258
0.001,100,10,5,5,12.51386
0.001,100,10,5,10,12.39146
0.001,100,10,5,20,12.33068
0.001,100,10,5,30,12.33076
0.001,100,10,5,100,12.3306
0.001,100,10,10,5,12.51466
0.001,100,10,10,10,12.4044
0.001,100,10,10,20,12.38014
0.001,100,10,10,30,12.38006
0.001,100,10,10,100,12.3801
0.001,100,10,20,5,12.5196
0.001,100,10,20,10,12.43674
0.001,100,10,20,20,12.4294
0.001,100,10,20,30,12.4294
0.001,100,10,20,100,12.4294
0.001,100,20,1,5,12.5205
0.001,100,20,1,10,12.3825
0.001,100,20,1,20,12.32686
0.001,100,20,1,30,12.32694
0.001,100,20,1,100,12.32668
0.001,100,20,5,5,12.5125
0.001,100,20,5,10,12.40086
0.001,100,20,5,20,12.3645
0.001,100,20,5,30,12.36464
0.001,100,20,5,100,12.3647
0.001,100,20,10,5,12.51468
0.001,100,20,10,10,12.40438
0.001,100,20,10,20,12.3801
0.001,100,20,10,30,12.38008
0.001,100,20,10,100,12.38004
0.001,100,20,20,5,12.5196
0.001,100,20,20,10,12.43674
0.001,100,20,20,20,12.4294
0.001,100,20,20,30,12.4294
0.001,100,20,20,100,12.4294
