N_estimators,Max_depth,Min_samples_split,Min_samples_leaf,max_features,Min_impurity_decrease,MMRE-
10,5,10,20,50,0,2658.83992
10,5,10,20,50,0.1,13258.4756
10,5,10,20,50,0.2,21273.14022
10,5,10,20,50,0.3,21294.6352
10,5,10,20,sqrt,0,7675.61982
10,5,10,20,sqrt,0.1,18609.37602
10,5,10,20,sqrt,0.2,20905.95324
10,5,10,20,sqrt,0.3,21191.39152
10,5,10,20,log2,0,8694.43994
10,5,10,20,log2,0.1,17947.17364
10,5,10,20,log2,0.2,20902.84402
10,5,10,20,log2,0.3,21025.00416
10,5,20,1,50,0,2673.84628
10,5,20,1,50,0.1,13150.346
10,5,20,1,50,0.2,21010.55566
10,5,20,1,50,0.3,20949.33336
10,5,20,1,sqrt,0,7998.3632
10,5,20,1,sqrt,0.1,17075.58336
10,5,20,1,sqrt,0.2,21140.09046
10,5,20,1,sqrt,0.3,20824.81286
10,5,20,1,log2,0,9878.30092
10,5,20,1,log2,0.1,20532.87244
10,5,20,1,log2,0.2,21167.4327
10,5,20,1,log2,0.3,21043.70114
10,5,20,5,50,0,4096.67224
10,5,20,5,50,0.1,13149.4313
10,5,20,5,50,0.2,20833.99008
10,5,20,5,50,0.3,21224.30422
10,5,20,5,sqrt,0,5249.3933
10,5,20,5,sqrt,0.1,17240.48622
10,5,20,5,sqrt,0.2,20954.10396
10,5,20,5,sqrt,0.3,21424.66418
10,5,20,5,log2,0,9034.1408
10,5,20,5,log2,0.1,18645.50202
10,5,20,5,log2,0.2,21217.23498
10,5,20,5,log2,0.3,21277.14754
10,5,20,10,50,0,2531.05918
10,5,20,10,50,0.1,13340.7933
10,5,20,10,50,0.2,20925.07278
10,5,20,10,50,0.3,21029.52688
10,5,20,10,sqrt,0,7475.9567
10,5,20,10,sqrt,0.1,19650.28102
10,5,20,10,sqrt,0.2,20884.84482
10,5,20,10,sqrt,0.3,21050.4409
10,5,20,10,log2,0,8336.78448
10,5,20,10,log2,0.1,15769.49858
10,5,20,10,log2,0.2,21031.07602
10,5,20,10,log2,0.3,21034.49708
10,5,20,20,50,0,2128.07106
10,5,20,20,50,0.1,12939.1668
10,5,20,20,50,0.2,20834.828
10,5,20,20,50,0.3,21059.7484
10,5,20,20,sqrt,0,9104.30256
10,5,20,20,sqrt,0.1,16959.38198
10,5,20,20,sqrt,0.2,20897.63622
10,5,20,20,sqrt,0.3,20771.7066
10,5,20,20,log2,0,9813.25612
10,5,20,20,log2,0.1,17855.53652
10,5,20,20,log2,0.2,21231.6129
10,5,20,20,log2,0.3,20752.4727
10,5,40,1,50,0,3520.05894
10,5,40,1,50,0.1,13523.28322
10,5,40,1,50,0.2,21028.82046
10,5,40,1,50,0.3,21016.6016
10,5,40,1,sqrt,0,6123.86176
10,5,40,1,sqrt,0.1,18514.68646
10,5,40,1,sqrt,0.2,20939.64152
10,5,40,1,sqrt,0.3,21398.6501
10,5,40,1,log2,0,7939.19962
10,5,40,1,log2,0.1,17856.9187
10,5,40,1,log2,0.2,21117.72158
10,5,40,1,log2,0.3,20932.3198
10,5,40,5,50,0,3084.77718
10,5,40,5,50,0.1,13323.6108
10,5,40,5,50,0.2,21004.00424
10,5,40,5,50,0.3,21074.43694
10,5,40,5,sqrt,0,13558.90786
10,5,40,5,sqrt,0.1,19482.41966
10,5,40,5,sqrt,0.2,20985.78878
10,5,40,5,sqrt,0.3,21314.37398
10,5,40,5,log2,0,8436.91486
10,5,40,5,log2,0.1,18587.77142
10,5,40,5,log2,0.2,20816.37718
10,5,40,5,log2,0.3,21186.12228
10,5,40,10,50,0,3359.07698
10,5,40,10,50,0.1,13091.61048
10,5,40,10,50,0.2,20905.8514
10,5,40,10,50,0.3,21370.68212
10,5,40,10,sqrt,0,14064.9155
10,5,40,10,sqrt,0.1,18310.13642
10,5,40,10,sqrt,0.2,21123.58356
10,5,40,10,sqrt,0.3,20978.16686
10,5,40,10,log2,0,9004.6317
10,5,40,10,log2,0.1,20398.36286
10,5,40,10,log2,0.2,21188.05308
10,5,40,10,log2,0.3,20965.09212
10,5,40,20,50,0,2287.39296
10,5,40,20,50,0.1,13212.32094
10,5,40,20,50,0.2,21157.67728
10,5,40,20,50,0.3,21013.7891
10,5,40,20,sqrt,0,9281.72992
10,5,40,20,sqrt,0.1,18205.48838
10,5,40,20,sqrt,0.2,21259.75522
10,5,40,20,sqrt,0.3,20973.93746
10,5,40,20,log2,0,13243.6136
10,5,40,20,log2,0.1,19311.48274
10,5,40,20,log2,0.2,21155.75696
10,5,40,20,log2,0.3,20788.36564
10,10,2,1,50,0,2937.14876
10,10,2,1,50,0.1,13080.47472
10,10,2,1,50,0.2,20745.69004
10,10,2,1,50,0.3,21328.56366
10,10,2,1,sqrt,0,6643.73796
10,10,2,1,sqrt,0.1,18754.35872
10,10,2,1,sqrt,0.2,21242.97058
10,10,2,1,sqrt,0.3,21149.33064
10,10,2,1,log2,0,5744.91056
10,10,2,1,log2,0.1,19381.56186
10,10,2,1,log2,0.2,20945.9006
10,10,2,1,log2,0.3,20850.13354
10,10,2,5,50,0,2498.85204
10,10,2,5,50,0.1,13051.309
10,10,2,5,50,0.2,20935.317
10,10,2,5,50,0.3,21092.09388
10,10,2,5,sqrt,0,6344.785
10,10,2,5,sqrt,0.1,17943.5006
10,10,2,5,sqrt,0.2,20838.66254
10,10,2,5,sqrt,0.3,20963.85668
10,10,2,5,log2,0,7919.8966
10,10,2,5,log2,0.1,19631.4817
10,10,2,5,log2,0.2,21219.25074
10,10,2,5,log2,0.3,20906.90488
10,10,2,10,50,0,2968.61374
10,10,2,10,50,0.1,13133.98064
10,10,2,10,50,0.2,21177.84092
10,10,2,10,50,0.3,21197.02244
10,10,2,10,sqrt,0,7546.53186
10,10,2,10,sqrt,0.1,18834.87022
10,10,2,10,sqrt,0.2,21164.19474
10,10,2,10,sqrt,0.3,21003.36876
10,10,2,10,log2,0,9876.79764
10,10,2,10,log2,0.1,19411.91756
10,10,2,10,log2,0.2,21018.34206
10,10,2,10,log2,0.3,21092.12442
10,10,2,20,50,0,2469.0004
10,10,2,20,50,0.1,13025.0951
10,10,2,20,50,0.2,21089.50426
10,10,2,20,50,0.3,20862.64548
10,10,2,20,sqrt,0,8314.94982
10,10,2,20,sqrt,0.1,18459.81028
10,10,2,20,sqrt,0.2,20978.4401
10,10,2,20,sqrt,0.3,21077.73292
10,10,2,20,log2,0,14634.81458
10,10,2,20,log2,0.1,19344.63302
10,10,2,20,log2,0.2,20878.39348
10,10,2,20,log2,0.3,21296.12382
10,10,6,1,50,0,2555.99644
10,10,6,1,50,0.1,13241.61344
10,10,6,1,50,0.2,20650.3059
10,10,6,1,50,0.3,21008.94584
10,10,6,1,sqrt,0,3293.158
10,10,6,1,sqrt,0.1,19974.96714
10,10,6,1,sqrt,0.2,20943.00388
10,10,6,1,sqrt,0.3,21160.45736
10,10,6,1,log2,0,3646.66652
10,10,6,1,log2,0.1,19574.99196
10,10,6,1,log2,0.2,20976.9525
10,10,6,1,log2,0.3,21023.05624
10,10,6,5,50,0,2657.35754
10,10,6,5,50,0.1,12983.96756
10,10,6,5,50,0.2,21247.61592
10,10,6,5,50,0.3,21086.11184
10,10,6,5,sqrt,0,5640.3386
10,10,6,5,sqrt,0.1,19571.78872
10,10,6,5,sqrt,0.2,21149.81728
10,10,6,5,sqrt,0.3,21031.17494
10,10,6,5,log2,0,6011.1411
10,10,6,5,log2,0.1,17890.53
10,10,6,5,log2,0.2,20991.69434
10,10,6,5,log2,0.3,21253.8048
10,10,6,10,50,0,2993.67726
10,10,6,10,50,0.1,13108.30436
10,10,6,10,50,0.2,21340.0433
10,10,6,10,50,0.3,21145.05032
10,10,6,10,sqrt,0,9284.12928
10,10,6,10,sqrt,0.1,20165.87276
10,10,6,10,sqrt,0.2,21220.97108
10,10,6,10,sqrt,0.3,21044.714
10,10,6,10,log2,0,7875.65694
10,10,6,10,log2,0.1,20216.5036
