n_neighbors,weights,algorithm,leaf_size,p,MMRE-
3,uniform,brute,30,1,19.764139999999998
3,uniform,brute,30,2,21.312620000000003
3,uniform,brute,40,1,19.764139999999998
3,uniform,brute,40,2,21.312620000000003
3,uniform,brute,50,1,19.764139999999998
3,uniform,brute,50,2,21.312620000000003
3,uniform,brute,100,1,19.764139999999998
3,uniform,brute,100,2,21.312620000000003
3,distance,auto,10,1,19.6795
3,distance,auto,10,2,20.51424
3,distance,auto,20,1,19.705179999999995
3,distance,auto,20,2,20.54576
3,distance,auto,30,1,19.76732
3,distance,auto,30,2,20.5563
3,distance,auto,40,1,19.76732
3,distance,auto,40,2,20.5563
3,distance,auto,50,1,19.76732
3,distance,auto,50,2,20.5563
3,distance,auto,100,1,19.77842
3,distance,auto,100,2,20.58544
3,distance,ball_tree,10,1,19.73586
3,distance,ball_tree,10,2,20.53904
3,distance,ball_tree,20,1,19.77234
3,distance,ball_tree,20,2,20.57002
3,distance,ball_tree,30,1,19.74792
3,distance,ball_tree,30,2,20.56354
3,distance,ball_tree,40,1,19.74792
3,distance,ball_tree,40,2,20.56354
3,distance,ball_tree,50,1,19.74792
3,distance,ball_tree,50,2,20.56354
3,distance,ball_tree,100,1,19.814159999999998
3,distance,ball_tree,100,2,20.594119999999997
3,distance,kd_tree,10,1,19.6795
3,distance,kd_tree,10,2,20.51424
3,distance,kd_tree,20,1,19.705179999999995
3,distance,kd_tree,20,2,20.54576
3,distance,kd_tree,30,1,19.76732
3,distance,kd_tree,30,2,20.5563
3,distance,kd_tree,40,1,19.76732
3,distance,kd_tree,40,2,20.5563
3,distance,kd_tree,50,1,19.76732
3,distance,kd_tree,50,2,20.5563
3,distance,kd_tree,100,1,19.77842
3,distance,kd_tree,100,2,20.58544
3,distance,brute,10,1,19.610599999999998
3,distance,brute,10,2,21.24634
3,distance,brute,20,1,19.610599999999998
3,distance,brute,20,2,21.24634
3,distance,brute,30,1,19.610599999999998
3,distance,brute,30,2,21.24634
3,distance,brute,40,1,19.610599999999998
3,distance,brute,40,2,21.24634
3,distance,brute,50,1,19.610599999999998
3,distance,brute,50,2,21.24634
3,distance,brute,100,1,19.610599999999998
