Learning_rate,N_estimators,Min_samples_split,Min_samples_leaf,Max_depth,MMRE-
0.001,30.0,2.0,1.0,100.0,20435.63884
0.001,30.0,2.0,5.0,5.0,20433.529660000004
0.001,30.0,2.0,5.0,10.0,20423.08682
0.001,30.0,2.0,5.0,20.0,20423.08668
0.001,30.0,2.0,5.0,30.0,20423.08664
0.001,30.0,2.0,5.0,100.0,20423.08664
0.001,30.0,2.0,10.0,5.0,20433.74602
0.001,30.0,2.0,10.0,10.0,20426.023480000003
0.001,30.0,2.0,10.0,20.0,20426.0232
0.001,30.0,2.0,10.0,30.0,20426.0232
0.001,30.0,2.0,10.0,100.0,20426.0232
0.001,30.0,2.0,20.0,5.0,20434.68146
0.001,30.0,2.0,20.0,10.0,20434.682619999996
0.001,30.0,2.0,20.0,20.0,20434.682619999996
0.001,30.0,2.0,20.0,30.0,20434.682619999996
0.001,30.0,2.0,20.0,100.0,20434.682619999996
0.001,30.0,6.0,1.0,5.0,20433.53352
0.001,30.0,6.0,1.0,10.0,20435.36146
0.001,30.0,6.0,1.0,20.0,20435.360520000002
0.001,30.0,6.0,1.0,30.0,20435.35998
0.001,30.0,6.0,1.0,100.0,20435.36332
0.001,30.0,6.0,5.0,5.0,20433.529660000004
0.001,30.0,6.0,5.0,10.0,20423.086600000002
0.001,30.0,6.0,5.0,20.0,20423.08654
0.001,30.0,6.0,5.0,30.0,20423.08658
0.001,30.0,6.0,5.0,100.0,20423.08664
0.001,30.0,6.0,10.0,5.0,20433.74602
0.001,30.0,6.0,10.0,10.0,20426.023480000003
0.001,30.0,6.0,10.0,20.0,20426.0232
0.001,30.0,6.0,10.0,30.0,20426.0232
0.001,30.0,6.0,10.0,100.0,20426.0232
0.001,30.0,6.0,20.0,5.0,20434.68146
0.001,30.0,6.0,20.0,10.0,20434.682619999996
0.001,30.0,6.0,20.0,20.0,20434.682619999996
0.001,30.0,6.0,20.0,30.0,20434.682619999996
0.001,30.0,6.0,20.0,100.0,20434.682619999996
0.001,30.0,10.0,1.0,5.0,20433.53362
0.001,30.0,10.0,1.0,10.0,20435.31192
0.001,30.0,10.0,1.0,20.0,20435.31136
0.001,30.0,10.0,1.0,30.0,20435.31164
0.001,30.0,10.0,1.0,100.0,20435.3116
0.001,30.0,10.0,5.0,5.0,20433.529660000004
0.001,30.0,10.0,5.0,10.0,20423.08676
0.001,30.0,10.0,5.0,20.0,20423.08668
0.001,30.0,10.0,5.0,30.0,20423.0864
0.001,30.0,10.0,5.0,100.0,20423.08658
0.001,30.0,10.0,10.0,5.0,20433.74602
0.001,30.0,10.0,10.0,10.0,20426.023480000003
0.001,30.0,10.0,10.0,20.0,20426.0232
0.001,30.0,10.0,10.0,30.0,20426.0232
0.001,30.0,10.0,10.0,100.0,20426.0232
0.001,30.0,10.0,20.0,5.0,20434.68146
0.001,30.0,10.0,20.0,10.0,20434.682619999996
0.001,30.0,10.0,20.0,20.0,20434.682619999996
0.001,30.0,10.0,20.0,30.0,20434.682619999996
0.001,30.0,10.0,20.0,100.0,20434.682619999996
0.001,30.0,20.0,1.0,5.0,20433.554560000004
0.001,30.0,20.0,1.0,10.0,20426.57592
0.001,30.0,20.0,1.0,20.0,20426.5751
0.001,30.0,20.0,1.0,30.0,20426.57506
0.001,30.0,20.0,1.0,100.0,20426.57514
0.001,30.0,20.0,5.0,5.0,20433.55486
0.001,30.0,20.0,5.0,10.0,20426.56932
0.001,30.0,20.0,5.0,20.0,20426.5692
0.001,30.0,20.0,5.0,30.0,20426.5692
0.001,30.0,20.0,5.0,100.0,20426.5692
0.001,30.0,20.0,10.0,5.0,20433.74602
0.001,30.0,20.0,10.0,10.0,20426.023480000003
0.001,30.0,20.0,10.0,20.0,20426.0232
0.001,30.0,20.0,10.0,30.0,20426.0232
0.001,30.0,20.0,10.0,100.0,20426.0232
0.001,30.0,20.0,20.0,5.0,20434.68146
0.001,30.0,20.0,20.0,10.0,20434.682619999996
0.001,30.0,20.0,20.0,20.0,20434.682619999996
0.001,30.0,20.0,20.0,30.0,20434.682619999996
0.001,30.0,20.0,20.0,100.0,20434.682619999996
0.001,30.0,40.0,1.0,5.0,20434.72074
0.001,30.0,40.0,1.0,10.0,20434.716440000004
0.001,30.0,40.0,1.0,20.0,20434.71622
0.001,30.0,40.0,1.0,30.0,20434.71624
0.001,30.0,40.0,1.0,100.0,20434.71622
0.001,30.0,40.0,5.0,5.0,20434.72152
0.001,30.0,40.0,5.0,10.0,20434.7174
0.001,30.0,40.0,5.0,20.0,20434.717320000003
0.001,30.0,40.0,5.0,30.0,20434.717320000003
0.001,30.0,40.0,5.0,100.0,20434.717320000003
0.001,30.0,40.0,10.0,5.0,20434.81754
0.001,30.0,40.0,10.0,10.0,20434.74982
0.001,30.0,40.0,10.0,20.0,20434.7497
0.001,30.0,40.0,10.0,30.0,20434.7497
0.001,30.0,40.0,10.0,100.0,20434.7497
0.001,30.0,40.0,20.0,5.0,20434.68146
0.001,30.0,40.0,20.0,10.0,20434.682619999996
0.001,30.0,40.0,20.0,20.0,20434.682619999996
0.001,30.0,40.0,20.0,30.0,20434.682619999996
0.001,30.0,40.0,20.0,100.0,20434.682619999996
0.001,50.0,2.0,1.0,5.0,20039.28746
0.001,50.0,2.0,1.0,10.0,20042.28136
0.001,50.0,2.0,1.0,20.0,20041.97414
0.001,50.0,2.0,1.0,30.0,20042.00128
0.001,50.0,2.0,1.0,100.0,20041.822979999997
0.001,50.0,2.0,5.0,5.0,20039.28106
0.001,50.0,2.0,5.0,10.0,20021.992439999998
0.001,50.0,2.0,5.0,20.0,20021.991700000002
0.001,50.0,2.0,5.0,30.0,20021.991719999998
0.001,50.0,2.0,5.0,100.0,20021.9916
0.001,50.0,2.0,10.0,5.0,20039.7591
0.001,50.0,2.0,10.0,10.0,20027.030059999997
0.001,50.0,2.0,10.0,20.0,20027.02962
0.001,50.0,2.0,10.0,30.0,20027.02962
0.001,50.0,2.0,10.0,100.0,20027.02962
0.001,50.0,2.0,20.0,5.0,20041.18266
0.001,50.0,2.0,20.0,10.0,20041.182119999998
0.001,50.0,2.0,20.0,20.0,20041.182119999998
0.001,50.0,2.0,20.0,30.0,20041.182119999998
0.001,50.0,2.0,20.0,100.0,20041.182119999998
0.001,50.0,6.0,1.0,5.0,20039.28764
0.001,50.0,6.0,1.0,10.0,20042.24278
0.001,50.0,6.0,1.0,20.0,20042.23944
0.001,50.0,6.0,1.0,30.0,20042.24192
0.001,50.0,6.0,1.0,100.0,20042.240199999997
0.001,50.0,6.0,5.0,5.0,20039.28106
0.001,50.0,6.0,5.0,10.0,20021.99224
0.001,50.0,6.0,5.0,20.0,20021.992
0.001,50.0,6.0,5.0,30.0,20021.99194
0.001,50.0,6.0,5.0,100.0,20021.99196
0.001,50.0,6.0,10.0,5.0,20039.7591
0.001,50.0,6.0,10.0,10.0,20027.030059999997
0.001,50.0,6.0,10.0,20.0,20027.02962
0.001,50.0,6.0,10.0,30.0,20027.02962
0.001,50.0,6.0,10.0,100.0,20027.02962
0.001,50.0,6.0,20.0,5.0,20041.18266
0.001,50.0,6.0,20.0,10.0,20041.182119999998
0.001,50.0,6.0,20.0,20.0,20041.182119999998
0.001,50.0,6.0,20.0,30.0,20041.182119999998
0.001,50.0,6.0,20.0,100.0,20041.182119999998
0.001,50.0,10.0,1.0,5.0,20039.28778
0.001,50.0,10.0,1.0,10.0,20042.16796
0.001,50.0,10.0,1.0,20.0,20042.167779999996
0.001,50.0,10.0,1.0,30.0,20042.16772
0.001,50.0,10.0,1.0,100.0,20042.16728
0.001,50.0,10.0,5.0,5.0,20039.28106
0.001,50.0,10.0,5.0,10.0,20021.9923
0.001,50.0,10.0,5.0,20.0,20021.99172
0.001,50.0,10.0,5.0,30.0,20021.9918
0.001,50.0,10.0,5.0,100.0,20021.99174
0.001,50.0,10.0,10.0,5.0,20039.7591
0.001,50.0,10.0,10.0,10.0,20027.030059999997
0.001,50.0,10.0,10.0,20.0,20027.02962
0.001,50.0,10.0,10.0,30.0,20027.02962
0.001,50.0,10.0,10.0,100.0,20027.02962
0.001,50.0,10.0,20.0,5.0,20041.18266
0.001,50.0,10.0,20.0,10.0,20041.182119999998
0.001,50.0,10.0,20.0,20.0,20041.182119999998
0.001,50.0,10.0,20.0,30.0,20041.182119999998
0.001,50.0,10.0,20.0,100.0,20041.182119999998
0.001,50.0,20.0,1.0,5.0,20039.31676
0.001,50.0,20.0,1.0,10.0,20027.76028
0.001,50.0,20.0,1.0,20.0,20027.75882
0.001,50.0,20.0,1.0,30.0,20027.758780000004
0.001,50.0,20.0,1.0,100.0,20027.75866
0.001,50.0,20.0,5.0,5.0,20039.317279999996
0.001,50.0,20.0,5.0,10.0,20027.75004
0.001,50.0,20.0,5.0,20.0,20027.749860000004
0.001,50.0,20.0,5.0,30.0,20027.749860000004
0.001,50.0,20.0,5.0,100.0,20027.749860000004
0.001,50.0,20.0,10.0,5.0,20039.7591
0.001,50.0,20.0,10.0,10.0,20027.030059999997
0.001,50.0,20.0,10.0,20.0,20027.02962
0.001,50.0,20.0,10.0,30.0,20027.02962
0.001,50.0,20.0,10.0,100.0,20027.02962
0.001,50.0,20.0,20.0,5.0,20041.18266
0.001,50.0,20.0,20.0,10.0,20041.182119999998
0.001,50.0,20.0,20.0,20.0,20041.182119999998
0.001,50.0,20.0,20.0,30.0,20041.182119999998
0.001,50.0,20.0,20.0,100.0,20041.182119999998
0.001,50.0,40.0,1.0,5.0,20041.20444
0.001,50.0,40.0,1.0,10.0,20041.191920000005
0.001,50.0,40.0,1.0,20.0,20041.19154
0.001,50.0,40.0,1.0,30.0,20041.19152
0.001,50.0,40.0,1.0,100.0,20041.19154
0.001,50.0,40.0,5.0,5.0,20041.20596
0.001,50.0,40.0,5.0,10.0,20041.194859999996
0.001,50.0,40.0,5.0,20.0,20041.19474
0.001,50.0,40.0,5.0,30.0,20041.19474
0.001,50.0,40.0,5.0,100.0,20041.19474
0.001,50.0,40.0,10.0,5.0,20041.4984
0.001,50.0,40.0,10.0,10.0,20041.39706
0.001,50.0,40.0,10.0,20.0,20041.39682
0.001,50.0,40.0,10.0,30.0,20041.39682
0.001,50.0,40.0,10.0,100.0,20041.39682
0.001,50.0,40.0,20.0,5.0,20041.18266
0.001,50.0,40.0,20.0,10.0,20041.182119999998
0.001,50.0,40.0,20.0,20.0,20041.182119999998
0.001,50.0,40.0,20.0,30.0,20041.182119999998
0.001,50.0,40.0,20.0,100.0,20041.182119999998
0.001,100.0,2.0,1.0,5.0,19087.496460000002
0.001,100.0,2.0,1.0,10.0,19092.937700000002
0.001,100.0,2.0,1.0,20.0,19092.5087
0.001,100.0,2.0,1.0,30.0,19092.63966
0.001,100.0,2.0,1.0,100.0,19092.99894
0.001,100.0,2.0,5.0,5.0,19087.484620000003
0.001,100.0,2.0,5.0,10.0,19053.694020000003
0.001,100.0,2.0,5.0,20.0,19053.70486
0.001,100.0,2.0,5.0,30.0,19053.6985
0.001,100.0,2.0,5.0,100.0,19053.698620000003
0.001,100.0,2.0,10.0,5.0,19088.48858
0.001,100.0,2.0,10.0,10.0,19064.042100000002
0.001,100.0,2.0,10.0,20.0,19064.04116
0.001,100.0,2.0,10.0,30.0,19064.04116
0.001,100.0,2.0,10.0,100.0,19064.04116
0.001,100.0,2.0,20.0,5.0,19092.0459
0.001,100.0,2.0,20.0,10.0,19092.03958
0.001,100.0,2.0,20.0,20.0,19092.03958
0.001,100.0,2.0,20.0,30.0,19092.03958
0.001,100.0,2.0,20.0,100.0,19092.03958
0.001,100.0,6.0,1.0,5.0,19087.49678
0.001,100.0,6.0,1.0,10.0,19093.20036
0.001,100.0,6.0,1.0,20.0,19093.20118
0.001,100.0,6.0,1.0,30.0,19093.19664
0.001,100.0,6.0,1.0,100.0,19093.197760000003
0.001,100.0,6.0,5.0,5.0,19087.484620000003
0.001,100.0,6.0,5.0,10.0,19053.69586
0.001,100.0,6.0,5.0,20.0,19053.6959
0.001,100.0,6.0,5.0,30.0,19053.69632
0.001,100.0,6.0,5.0,100.0,19053.69116
0.001,100.0,6.0,10.0,5.0,19088.48858
0.001,100.0,6.0,10.0,10.0,19064.042100000002
0.001,100.0,6.0,10.0,20.0,19064.04116
0.001,100.0,6.0,10.0,30.0,19064.04116
0.001,100.0,6.0,10.0,100.0,19064.04116
0.001,100.0,6.0,20.0,5.0,19092.0459
0.001,100.0,6.0,20.0,10.0,19092.03958
0.001,100.0,6.0,20.0,20.0,19092.03958
0.001,100.0,6.0,20.0,30.0,19092.03958
0.001,100.0,6.0,20.0,100.0,19092.03958
0.001,100.0,10.0,1.0,5.0,19087.49706
0.001,100.0,10.0,1.0,10.0,19093.043639999996
0.001,100.0,10.0,1.0,20.0,19093.0448
0.001,100.0,10.0,1.0,30.0,19093.04462
0.001,100.0,10.0,1.0,100.0,19093.04482
0.001,100.0,10.0,5.0,5.0,19087.484620000003
0.001,100.0,10.0,5.0,10.0,19053.69786
0.001,100.0,10.0,5.0,20.0,19053.6981
0.001,100.0,10.0,5.0,30.0,19053.69122
0.001,100.0,10.0,5.0,100.0,19053.6956
0.001,100.0,10.0,10.0,5.0,19088.48858
0.001,100.0,10.0,10.0,10.0,19064.042100000002
0.001,100.0,10.0,10.0,20.0,19064.04116
0.001,100.0,10.0,10.0,30.0,19064.04116
0.001,100.0,10.0,10.0,100.0,19064.04116
0.001,100.0,10.0,20.0,5.0,19092.0459
0.001,100.0,10.0,20.0,10.0,19092.03958
0.001,100.0,10.0,20.0,20.0,19092.03958
0.001,100.0,10.0,20.0,30.0,19092.03958
0.001,100.0,10.0,20.0,100.0,19092.03958
0.001,100.0,20.0,1.0,5.0,19087.547240000004
0.001,100.0,20.0,1.0,10.0,19064.91572
0.001,100.0,20.0,1.0,20.0,19064.914060000003
0.001,100.0,20.0,1.0,30.0,19064.913640000002
0.001,100.0,20.0,1.0,100.0,19064.913819999998
0.001,100.0,20.0,5.0,5.0,19087.54896
0.001,100.0,20.0,5.0,10.0,19064.902859999995
0.001,100.0,20.0,5.0,20.0,19064.902240000003
0.001,100.0,20.0,5.0,30.0,19064.902240000003
0.001,100.0,20.0,5.0,100.0,19064.902240000003
0.001,100.0,20.0,10.0,5.0,19088.48858
0.001,100.0,20.0,10.0,10.0,19064.042100000002
0.001,100.0,20.0,10.0,20.0,19064.04116
0.001,100.0,20.0,10.0,30.0,19064.04116
0.001,100.0,20.0,10.0,100.0,19064.04116
0.001,100.0,20.0,20.0,5.0,19092.0459
0.001,100.0,20.0,20.0,10.0,19092.03958
0.001,100.0,20.0,20.0,20.0,19092.03958
0.001,100.0,20.0,20.0,30.0,19092.03958
0.001,100.0,20.0,20.0,100.0,19092.03958
0.001,100.0,40.0,1.0,5.0,19090.9341
0.001,100.0,40.0,1.0,10.0,19090.88104
0.001,100.0,40.0,1.0,20.0,19090.88046
0.001,100.0,40.0,1.0,30.0,19090.88054
0.001,100.0,40.0,1.0,100.0,19090.8805
0.001,100.0,40.0,5.0,5.0,19090.936080000003
0.001,100.0,40.0,5.0,10.0,19090.8876
0.001,100.0,40.0,5.0,20.0,19090.887319999998
0.001,100.0,40.0,5.0,30.0,19090.887319999998
0.001,100.0,40.0,5.0,100.0,19090.887319999998
0.001,100.0,40.0,10.0,5.0,19091.60234
0.001,100.0,40.0,10.0,10.0,19091.489040000004
0.001,100.0,40.0,10.0,20.0,19091.488680000002
0.001,100.0,40.0,10.0,30.0,19091.488680000002
0.001,100.0,40.0,10.0,100.0,19091.488680000002
0.001,100.0,40.0,20.0,5.0,19092.0459
0.001,100.0,40.0,20.0,10.0,19092.03958
0.001,100.0,40.0,20.0,20.0,19092.03958
0.001,100.0,40.0,20.0,30.0,19092.03958
0.001,100.0,40.0,20.0,100.0,19092.03958
0.001,200.0,2.0,1.0,5.0,17325.19994
0.001,200.0,2.0,1.0,10.0,17331.15896
0.001,200.0,2.0,1.0,20.0,17330.60254
0.001,200.0,2.0,1.0,30.0,17331.03338
0.001,200.0,2.0,1.0,100.0,17330.60664
0.001,200.0,2.0,5.0,5.0,17316.934800000003
0.001,200.0,2.0,5.0,10.0,17257.0854
0.001,200.0,2.0,5.0,20.0,17257.08828
0.001,200.0,2.0,5.0,30.0,17257.0845
0.001,200.0,2.0,5.0,100.0,17257.10142
0.001,200.0,2.0,10.0,5.0,17318.309800000003
0.001,200.0,2.0,10.0,10.0,17275.43542
0.001,200.0,2.0,10.0,20.0,17275.43464
0.001,200.0,2.0,10.0,30.0,17275.43464
0.001,200.0,2.0,10.0,100.0,17275.43464
0.001,200.0,2.0,20.0,5.0,17347.15828
0.001,200.0,2.0,20.0,10.0,17346.07868
0.001,200.0,2.0,20.0,20.0,17346.07868
0.001,200.0,2.0,20.0,30.0,17346.07868
0.001,200.0,2.0,20.0,100.0,17346.07868
0.001,200.0,6.0,1.0,5.0,17325.20044
0.001,200.0,6.0,1.0,10.0,17331.884420000002
0.001,200.0,6.0,1.0,20.0,17331.8943
0.001,200.0,6.0,1.0,30.0,17331.8954
0.001,200.0,6.0,1.0,100.0,17331.894519999998
0.001,200.0,6.0,5.0,5.0,17316.934800000003
0.001,200.0,6.0,5.0,10.0,17257.094220000003
0.001,200.0,6.0,5.0,20.0,17257.08988
0.001,200.0,6.0,5.0,30.0,17257.0711
0.001,200.0,6.0,5.0,100.0,17257.08792
0.001,200.0,6.0,10.0,5.0,17318.309800000003
0.001,200.0,6.0,10.0,10.0,17275.43542
0.001,200.0,6.0,10.0,20.0,17275.43464
0.001,200.0,6.0,10.0,30.0,17275.43464
0.001,200.0,6.0,10.0,100.0,17275.43464
0.001,200.0,6.0,20.0,5.0,17347.15828
0.001,200.0,6.0,20.0,10.0,17346.07868
0.001,200.0,6.0,20.0,20.0,17346.07868
0.001,200.0,6.0,20.0,30.0,17346.07868
0.001,200.0,6.0,20.0,100.0,17346.07868
0.001,200.0,10.0,1.0,5.0,17325.20074
0.001,200.0,10.0,1.0,10.0,17331.73728
0.001,200.0,10.0,1.0,20.0,17331.730260000004
0.001,200.0,10.0,1.0,30.0,17331.72562
0.001,200.0,10.0,1.0,100.0,17331.72968
0.001,200.0,10.0,5.0,5.0,17316.934800000003
0.001,200.0,10.0,5.0,10.0,17257.085440000003
0.001,200.0,10.0,5.0,20.0,17257.080380000003
0.001,200.0,10.0,5.0,30.0,17257.0753
0.001,200.0,10.0,5.0,100.0,17257.091099999998
0.001,200.0,10.0,10.0,5.0,17318.309800000003
0.001,200.0,10.0,10.0,10.0,17275.43542
0.001,200.0,10.0,10.0,20.0,17275.43464
0.001,200.0,10.0,10.0,30.0,17275.43464
0.001,200.0,10.0,10.0,100.0,17275.43464
0.001,200.0,10.0,20.0,5.0,17347.15828
0.001,200.0,10.0,20.0,10.0,17346.07868
0.001,200.0,10.0,20.0,20.0,17346.07868
0.001,200.0,10.0,20.0,30.0,17346.07868
0.001,200.0,10.0,20.0,100.0,17346.07868
