N_neighbors,weights,algorithm,Leaf_size,P,MMRE-
3,uniform,brute,10,1,6.037859999999999
3,uniform,brute,10,2,6.0507599999999995
3,uniform,brute,20,1,6.037859999999999
3,uniform,brute,20,2,6.0507599999999995
3,uniform,brute,30,1,6.037859999999999
3,uniform,brute,30,2,6.0507599999999995
3,uniform,brute,40,1,6.037859999999999
3,uniform,brute,40,2,6.0507599999999995
3,uniform,brute,50,1,6.037859999999999
3,uniform,brute,50,2,6.0507599999999995
3,uniform,brute,100,1,6.037859999999999
3,uniform,brute,100,2,6.0507599999999995
3,distance,auto,10,1,6.1242
3,distance,auto,10,2,6.140140000000001
3,distance,auto,20,1,6.09548
3,distance,auto,20,2,6.12366
3,distance,auto,30,1,6.09548
3,distance,auto,30,2,6.12366
3,distance,auto,40,1,6.034159999999999
3,distance,auto,40,2,6.05504
3,distance,auto,50,1,6.034159999999999
3,distance,auto,50,2,6.05504
3,distance,auto,100,1,6.061159999999999
3,distance,auto,100,2,6.09228
3,distance,ball_tree,10,1,6.148840000000001
3,distance,ball_tree,10,2,6.171460000000001
3,distance,ball_tree,20,1,6.12206
3,distance,ball_tree,20,2,6.1518999999999995
3,distance,ball_tree,30,1,6.12206
3,distance,ball_tree,30,2,6.1518999999999995
3,distance,ball_tree,40,1,6.0981
3,distance,ball_tree,40,2,6.113339999999999
3,distance,ball_tree,50,1,6.0981
3,distance,ball_tree,50,2,6.113339999999999
3,distance,ball_tree,100,1,6.09492
3,distance,ball_tree,100,2,6.1291400000000005
3,distance,kd_tree,10,1,6.1242
3,distance,kd_tree,10,2,6.140140000000001
3,distance,kd_tree,20,1,6.09548
3,distance,kd_tree,20,2,6.12366
3,distance,kd_tree,30,1,6.09548
3,distance,kd_tree,30,2,6.12366
3,distance,kd_tree,40,1,6.034159999999999
3,distance,kd_tree,40,2,6.05504
3,distance,kd_tree,50,1,6.034159999999999
3,distance,kd_tree,50,2,6.05504
3,distance,kd_tree,100,1,6.061159999999999
3,distance,kd_tree,100,2,6.09228
3,distance,brute,10,1,6.006479999999999
3,distance,brute,10,2,6.023680000000001
3,distance,brute,20,1,6.006479999999999
3,distance,brute,20,2,6.023680000000001
3,distance,brute,30,1,6.006479999999999
3,distance,brute,30,2,6.023680000000001
3,distance,brute,40,1,6.006479999999999
3,distance,brute,40,2,6.023680000000001
3,distance,brute,50,1,6.006479999999999
3,distance,brute,50,2,6.023680000000001
3,distance,brute,100,1,6.006479999999999
3,distance,brute,100,2,6.023680000000001
5,uniform,auto,10,1,6.08666
5,uniform,auto,10,2,6.0838399999999995
5,uniform,auto,20,1,6.0866
5,uniform,auto,20,2,6.0992999999999995
5,uniform,auto,30,1,6.0866
5,uniform,auto,30,2,6.0992999999999995
5,uniform,auto,40,1,6.07054
5,uniform,auto,40,2,6.03872
5,uniform,auto,50,1,6.07054
5,uniform,auto,50,2,6.03872
5,uniform,auto,100,1,5.99502
5,uniform,auto,100,2,6.01614
5,uniform,ball_tree,10,1,6.042600000000001
5,uniform,ball_tree,10,2,6.03204
5,uniform,ball_tree,20,1,6.01316
5,uniform,ball_tree,20,2,6.053880000000001
5,uniform,ball_tree,30,1,6.01316
5,uniform,ball_tree,30,2,6.053880000000001
5,uniform,ball_tree,40,1,5.97898
5,uniform,ball_tree,40,2,5.963760000000001
5,uniform,ball_tree,50,1,5.97898
5,uniform,ball_tree,50,2,5.963760000000001
5,uniform,ball_tree,100,1,5.911199999999999
5,uniform,ball_tree,100,2,5.94978
5,uniform,kd_tree,10,1,6.08666
5,uniform,kd_tree,10,2,6.0838399999999995
5,uniform,kd_tree,20,1,6.0866
5,uniform,kd_tree,20,2,6.0992999999999995
5,uniform,kd_tree,30,1,6.0866
5,uniform,kd_tree,30,2,6.0992999999999995
5,uniform,kd_tree,40,1,6.07054
5,uniform,kd_tree,40,2,6.03872
5,uniform,kd_tree,50,1,6.07054
5,uniform,kd_tree,50,2,6.03872
5,uniform,kd_tree,100,1,5.99502
5,uniform,kd_tree,100,2,6.01614
5,uniform,brute,10,1,5.98232
5,uniform,brute,10,2,5.96832
5,uniform,brute,20,1,5.98232
5,uniform,brute,20,2,5.96832
5,uniform,brute,30,1,5.98232
5,uniform,brute,30,2,5.96832
5,uniform,brute,40,1,5.98232
5,uniform,brute,40,2,5.96832
5,uniform,brute,50,1,5.98232
5,uniform,brute,50,2,5.96832
5,uniform,brute,100,1,5.98232
5,uniform,brute,100,2,5.96832
5,distance,auto,10,1,5.8529
5,distance,auto,10,2,5.943859999999999
5,distance,auto,20,1,5.82808
5,distance,auto,20,2,5.960780000000001
5,distance,auto,30,1,5.82808
5,distance,auto,30,2,5.960780000000001
5,distance,auto,40,1,5.83584
5,distance,auto,40,2,5.913080000000001
5,distance,auto,50,1,5.83584
5,distance,auto,50,2,5.913080000000001
5,distance,auto,100,1,5.791479999999999
5,distance,auto,100,2,5.89612
5,distance,ball_tree,10,1,5.823160000000001
5,distance,ball_tree,10,2,5.9022
5,distance,ball_tree,20,1,5.8018600000000005
5,distance,ball_tree,20,2,5.927339999999999
5,distance,ball_tree,30,1,5.8018600000000005
5,distance,ball_tree,30,2,5.927339999999999
