Learning_rate,N_estimators,Min_samples_split,Min_samples_leaf,Max_depth,MMRE-
0.05,500,6,20,100,48.57148
0.05,500,10,1,5,46.71536
0.05,500,10,1,10,31.18356
0.05,500,10,1,20,30.797
0.05,500,10,1,30,30.60396
0.05,500,10,1,100,30.64252
0.05,500,10,5,5,39.516
0.05,500,10,5,10,32.92372
0.05,500,10,5,20,33.36258
0.05,500,10,5,30,33.52838
0.05,500,10,5,100,33.4956
0.05,500,10,10,5,45.96646
0.05,500,10,10,10,39.25004
0.05,500,10,10,20,39.78166
0.05,500,10,10,30,40.8995
0.05,500,10,10,100,40.68712
0.05,500,10,20,5,45.15748
0.05,500,10,20,10,42.83248
0.05,500,10,20,20,46.14338
0.05,500,10,20,30,48.57148
0.05,500,10,20,100,48.57148
0.05,500,20,1,5,43.97198
0.05,500,20,1,10,33.57536
0.05,500,20,1,20,33.52646
0.05,500,20,1,30,32.93436
0.05,500,20,1,100,33.11634
0.05,500,20,5,5,39.35924
0.05,500,20,5,10,33.93242
0.05,500,20,5,20,35.90246
0.05,500,20,5,30,35.66468
0.05,500,20,5,100,35.6661
0.05,500,20,10,5,45.96646
0.05,500,20,10,10,39.25004
0.05,500,20,10,20,39.78166
0.05,500,20,10,30,40.8995
0.05,500,20,10,100,40.68712
0.05,500,20,20,5,45.15748
0.05,500,20,20,10,42.83248
0.05,500,20,20,20,46.14338
0.05,500,20,20,30,48.57148
0.05,500,20,20,100,48.57148
0.05,500,40,1,5,44.40394
0.05,500,40,1,10,37.00066
0.05,500,40,1,20,35.8827
0.05,500,40,1,30,38.84308
0.05,500,40,1,100,36.81292
0.05,500,40,5,5,47.3641
0.05,500,40,5,10,37.72506
0.05,500,40,5,20,40.5623
0.05,500,40,5,30,40.07782
0.05,500,40,5,100,41.0636
0.05,500,40,10,5,46.11174
0.05,500,40,10,10,40.5421
0.05,500,40,10,20,46.31974
0.05,500,40,10,30,42.90024
0.05,500,40,10,100,42.82526
0.05,500,40,20,5,45.15748
0.05,500,40,20,10,42.83248
0.05,500,40,20,20,46.14338
0.05,500,40,20,30,48.57148
0.05,500,40,20,100,48.57148
0.1,10,2,1,5,195.5052
0.1,10,2,1,10,189.48146
0.1,10,2,1,20,190.6372
0.1,10,2,1,30,190.55178
0.1,10,2,1,100,190.70536
0.1,10,2,5,5,194.88928
0.1,10,2,5,10,189.95082
0.1,10,2,5,20,190.0172
0.1,10,2,5,30,190.01288
0.1,10,2,5,100,190.0164
0.1,10,2,10,5,195.31096
0.1,10,2,10,10,193.13786
0.1,10,2,10,20,193.10572
0.1,10,2,10,30,193.10572
0.1,10,2,10,100,193.10572
0.1,10,2,20,5,201.43476
0.1,10,2,20,10,201.12668
0.1,10,2,20,20,201.12668
0.1,10,2,20,30,201.12668
0.1,10,2,20,100,201.12668
0.1,10,6,1,5,195.50992
0.1,10,6,1,10,189.333
0.1,10,6,1,20,189.64294
0.1,10,6,1,30,189.71154
0.1,10,6,1,100,189.84636
0.1,10,6,5,5,194.88928
0.1,10,6,5,10,189.93574
0.1,10,6,5,20,190.01262
0.1,10,6,5,30,190.01718
0.1,10,6,5,100,190.01124
0.1,10,6,10,5,195.31096
0.1,10,6,10,10,193.13786
0.1,10,6,10,20,193.10572
0.1,10,6,10,30,193.10572
0.1,10,6,10,100,193.10572
0.1,10,6,20,5,201.43476
0.1,10,6,20,10,201.12668
0.1,10,6,20,20,201.12668
