alpha,fit_intercept,copy_X,max_iter,tol,MMRE-
0.001,True,True,500,1e-05,3620.3112799999994
0.001,True,True,500,0.0001,3620.310319999999
0.001,True,True,500,0.001,3620.31132
0.001,True,True,500,0.01,3620.3839799999996
0.001,True,True,500,0.1,3620.3808599999998
0.001,True,True,1000,1e-05,3620.3112799999994
0.001,True,True,1000,0.0001,3620.310319999999
0.001,True,True,1000,0.001,3620.31132
0.001,True,True,1000,0.01,3620.3839799999996
0.001,True,True,1000,0.1,3620.3808599999998
0.001,True,True,2000,1e-05,3620.3112799999994
0.001,True,True,2000,0.0001,3620.310319999999
0.001,True,True,2000,0.001,3620.31132
0.001,True,True,2000,0.01,3620.3839799999996
0.001,True,True,2000,0.1,3620.3808599999998
0.001,True,True,5000,1e-05,3620.3112799999994
0.001,True,True,5000,0.0001,3620.310319999999
0.001,True,True,5000,0.001,3620.31132
0.001,True,True,5000,0.01,3620.3839799999996
0.001,True,True,5000,0.1,3620.3808599999998
0.001,True,True,15000,1e-05,3620.3112799999994
0.001,True,True,15000,0.0001,3620.310319999999
0.001,True,True,15000,0.001,3620.31132
0.001,True,True,15000,0.01,3620.3839799999996
0.001,True,True,15000,0.1,3620.3808599999998
0.001,True,True,20000,1e-05,3620.3112799999994
0.001,True,True,20000,0.0001,3620.310319999999
0.001,True,True,20000,0.001,3620.31132
0.001,True,True,20000,0.01,3620.3839799999996
0.001,True,True,20000,0.1,3620.3808599999998
0.001,True,False,500,1e-05,3620.3112799999994
0.001,True,False,500,0.0001,3620.310319999999
0.001,True,False,500,0.001,3620.31132
0.001,True,False,500,0.01,3620.3839799999996
0.001,True,False,500,0.1,3620.3808599999998
0.001,True,False,1000,1e-05,3620.3112799999994
0.001,True,False,1000,0.0001,3620.310319999999
0.001,True,False,1000,0.001,3620.31132
0.001,True,False,1000,0.01,3620.3839799999996
0.001,True,False,1000,0.1,3620.3808599999998
0.001,True,False,2000,1e-05,3620.3112799999994
0.001,True,False,2000,0.0001,3620.310319999999
0.001,True,False,2000,0.001,3620.31132
0.001,True,False,2000,0.01,3620.3839799999996
0.001,True,False,2000,0.1,3620.3808599999998
0.001,True,False,5000,1e-05,3620.3112799999994
0.001,True,False,5000,0.0001,3620.310319999999
0.001,True,False,5000,0.001,3620.31132
0.001,True,False,5000,0.01,3620.3839799999996
0.001,True,False,5000,0.1,3620.3808599999998
0.001,True,False,15000,1e-05,3620.3112799999994
0.001,True,False,15000,0.0001,3620.310319999999
0.001,True,False,15000,0.001,3620.31132
0.001,True,False,15000,0.01,3620.3839799999996
0.001,True,False,15000,0.1,3620.3808599999998
0.001,True,False,20000,1e-05,3620.3112799999994
0.001,True,False,20000,0.0001,3620.310319999999
0.001,True,False,20000,0.001,3620.31132
0.001,True,False,20000,0.01,3620.3839799999996
0.001,True,False,20000,0.1,3620.3808599999998
0.001,False,True,500,1e-05,3649.8246200000003
0.001,False,True,500,0.0001,3655.0198599999994
0.001,False,True,500,0.001,3700.0051199999994
0.001,False,True,500,0.01,3807.4545599999997
0.001,False,True,500,0.1,4374.00972
0.001,False,True,1000,1e-05,3649.8246200000003
0.001,False,True,1000,0.0001,3655.0198599999994
0.001,False,True,1000,0.001,3700.0051199999994
0.001,False,True,1000,0.01,3807.4545599999997
0.001,False,True,1000,0.1,4374.00972
0.001,False,True,2000,1e-05,3649.8246200000003
0.001,False,True,2000,0.0001,3655.0198599999994
0.001,False,True,2000,0.001,3700.0051199999994
0.001,False,True,2000,0.01,3807.4545599999997
0.001,False,True,2000,0.1,4374.00972
0.001,False,True,5000,1e-05,3649.8246200000003
0.001,False,True,5000,0.0001,3655.0198599999994
0.001,False,True,5000,0.001,3700.0051199999994
0.001,False,True,5000,0.01,3807.4545599999997
0.001,False,True,5000,0.1,4374.00972
0.001,False,True,15000,1e-05,3649.8246200000003
0.001,False,True,15000,0.0001,3655.0198599999994
0.001,False,True,15000,0.001,3700.0051199999994
0.001,False,True,15000,0.01,3807.4545599999997
0.001,False,True,15000,0.1,4374.00972
0.001,False,True,20000,1e-05,3649.8246200000003
0.001,False,True,20000,0.0001,3655.0198599999994
0.001,False,True,20000,0.001,3700.0051199999994
0.001,False,True,20000,0.01,3807.4545599999997
0.001,False,True,20000,0.1,4374.00972
0.001,False,False,500,1e-05,3649.8246200000003
0.001,False,False,500,0.0001,3655.0198599999994
0.001,False,False,500,0.001,3700.0051199999994
0.001,False,False,500,0.01,3807.4545599999997
0.001,False,False,500,0.1,4374.00972
0.001,False,False,1000,1e-05,3649.8246200000003
0.001,False,False,1000,0.0001,3655.0198599999994
0.001,False,False,1000,0.001,3700.0051199999994
0.001,False,False,1000,0.01,3807.4545599999997
0.001,False,False,1000,0.1,4374.00972
0.001,False,False,2000,1e-05,3649.8246200000003
0.001,False,False,2000,0.0001,3655.0198599999994
0.001,False,False,2000,0.001,3700.0051199999994
0.001,False,False,2000,0.01,3807.4545599999997
0.001,False,False,2000,0.1,4374.00972
0.001,False,False,5000,1e-05,3649.8246200000003
0.001,False,False,5000,0.0001,3655.0198599999994
0.001,False,False,5000,0.001,3700.0051199999994
0.001,False,False,5000,0.01,3807.4545599999997
0.001,False,False,5000,0.1,4374.00972
0.001,False,False,15000,1e-05,3649.8246200000003
0.001,False,False,15000,0.0001,3655.0198599999994
0.001,False,False,15000,0.001,3700.0051199999994
0.001,False,False,15000,0.01,3807.4545599999997
0.001,False,False,15000,0.1,4374.00972
0.001,False,False,20000,1e-05,3649.8246200000003
0.001,False,False,20000,0.0001,3655.0198599999994
0.001,False,False,20000,0.001,3700.0051199999994
0.001,False,False,20000,0.01,3807.4545599999997
0.001,False,False,20000,0.1,4374.00972
0.01,True,True,500,1e-05,2826.3705199999995
0.01,True,True,500,0.0001,2826.3705199999995
0.01,True,True,500,0.001,2826.3705199999995
0.01,True,True,500,0.01,2826.3691
0.01,True,True,500,0.1,2826.36908
0.01,True,True,1000,1e-05,2826.3705199999995
0.01,True,True,1000,0.0001,2826.3705199999995
0.01,True,True,1000,0.001,2826.3705199999995
0.01,True,True,1000,0.01,2826.3691
0.01,True,True,1000,0.1,2826.36908
0.01,True,True,2000,1e-05,2826.3705199999995
0.01,True,True,2000,0.0001,2826.3705199999995
0.01,True,True,2000,0.001,2826.3705199999995
0.01,True,True,2000,0.01,2826.3691
0.01,True,True,2000,0.1,2826.36908
0.01,True,True,5000,1e-05,2826.3705199999995
0.01,True,True,5000,0.0001,2826.3705199999995
0.01,True,True,5000,0.001,2826.3705199999995
0.01,True,True,5000,0.01,2826.3691
0.01,True,True,5000,0.1,2826.36908
0.01,True,True,15000,1e-05,2826.3705199999995
0.01,True,True,15000,0.0001,2826.3705199999995
0.01,True,True,15000,0.001,2826.3705199999995
0.01,True,True,15000,0.01,2826.3691
0.01,True,True,15000,0.1,2826.36908
0.01,True,True,20000,1e-05,2826.3705199999995
0.01,True,True,20000,0.0001,2826.3705199999995
0.01,True,True,20000,0.001,2826.3705199999995
0.01,True,True,20000,0.01,2826.3691
0.01,True,True,20000,0.1,2826.36908
0.01,True,False,500,1e-05,2826.3705199999995
0.01,True,False,500,0.0001,2826.3705199999995
0.01,True,False,500,0.001,2826.3705199999995
0.01,True,False,500,0.01,2826.3691
0.01,True,False,500,0.1,2826.36908
0.01,True,False,1000,1e-05,2826.3705199999995
0.01,True,False,1000,0.0001,2826.3705199999995
0.01,True,False,1000,0.001,2826.3705199999995
0.01,True,False,1000,0.01,2826.3691
0.01,True,False,1000,0.1,2826.36908
0.01,True,False,2000,1e-05,2826.3705199999995
0.01,True,False,2000,0.0001,2826.3705199999995
0.01,True,False,2000,0.001,2826.3705199999995
0.01,True,False,2000,0.01,2826.3691
0.01,True,False,2000,0.1,2826.36908
0.01,True,False,5000,1e-05,2826.3705199999995
0.01,True,False,5000,0.0001,2826.3705199999995
0.01,True,False,5000,0.001,2826.3705199999995
0.01,True,False,5000,0.01,2826.3691
0.01,True,False,5000,0.1,2826.36908
0.01,True,False,15000,1e-05,2826.3705199999995
0.01,True,False,15000,0.0001,2826.3705199999995
0.01,True,False,15000,0.001,2826.3705199999995
0.01,True,False,15000,0.01,2826.3691
0.01,True,False,15000,0.1,2826.36908
0.01,True,False,20000,1e-05,2826.3705199999995
0.01,True,False,20000,0.0001,2826.3705199999995
0.01,True,False,20000,0.001,2826.3705199999995
0.01,True,False,20000,0.01,2826.3691
0.01,True,False,20000,0.1,2826.36908
0.01,False,True,500,1e-05,2762.78528
0.01,False,True,500,0.0001,2767.4756399999997
0.01,False,True,500,0.001,2826.4807199999996
0.01,False,True,500,0.01,3060.5687800000005
0.01,False,True,500,0.1,3184.5400999999997
0.01,False,True,1000,1e-05,2762.78528
0.01,False,True,1000,0.0001,2767.4756399999997
0.01,False,True,1000,0.001,2826.4807199999996
0.01,False,True,1000,0.01,3060.5687800000005
0.01,False,True,1000,0.1,3184.5400999999997
0.01,False,True,2000,1e-05,2762.78528
0.01,False,True,2000,0.0001,2767.4756399999997
0.01,False,True,2000,0.001,2826.4807199999996
0.01,False,True,2000,0.01,3060.5687800000005
0.01,False,True,2000,0.1,3184.5400999999997
0.01,False,True,5000,1e-05,2762.78528
0.01,False,True,5000,0.0001,2767.4756399999997
0.01,False,True,5000,0.001,2826.4807199999996
0.01,False,True,5000,0.01,3060.5687800000005
0.01,False,True,5000,0.1,3184.5400999999997
0.01,False,True,15000,1e-05,2762.78528
0.01,False,True,15000,0.0001,2767.4756399999997
0.01,False,True,15000,0.001,2826.4807199999996
0.01,False,True,15000,0.01,3060.5687800000005
0.01,False,True,15000,0.1,3184.5400999999997
0.01,False,True,20000,1e-05,2762.78528
0.01,False,True,20000,0.0001,2767.4756399999997
0.01,False,True,20000,0.001,2826.4807199999996
0.01,False,True,20000,0.01,3060.5687800000005
0.01,False,True,20000,0.1,3184.5400999999997
0.01,False,False,500,1e-05,2762.78528
0.01,False,False,500,0.0001,2767.4756399999997
0.01,False,False,500,0.001,2826.4807199999996
0.01,False,False,500,0.01,3060.5687800000005
0.01,False,False,500,0.1,3184.5400999999997
0.01,False,False,1000,1e-05,2762.78528
0.01,False,False,1000,0.0001,2767.4756399999997
0.01,False,False,1000,0.001,2826.4807199999996
0.01,False,False,1000,0.01,3060.5687800000005
0.01,False,False,1000,0.1,3184.5400999999997
0.01,False,False,2000,1e-05,2762.78528
0.01,False,False,2000,0.0001,2767.4756399999997
0.01,False,False,2000,0.001,2826.4807199999996
0.01,False,False,2000,0.01,3060.5687800000005
0.01,False,False,2000,0.1,3184.5400999999997
0.01,False,False,5000,1e-05,2762.78528
0.01,False,False,5000,0.0001,2767.4756399999997
0.01,False,False,5000,0.001,2826.4807199999996
0.01,False,False,5000,0.01,3060.5687800000005
0.01,False,False,5000,0.1,3184.5400999999997
0.01,False,False,15000,1e-05,2762.78528
0.01,False,False,15000,0.0001,2767.4756399999997
0.01,False,False,15000,0.001,2826.4807199999996
0.01,False,False,15000,0.01,3060.5687800000005
0.01,False,False,15000,0.1,3184.5400999999997
0.01,False,False,20000,1e-05,2762.78528
