Alpha,fit_intercept,copy_X,Max_iter,Tol,MMRE-
1,False,True,500,1e-05,134.89839999999998
1,False,True,500,0.0001,134.89839999999998
1,False,True,500,0.001,134.89836
1,False,True,500,0.01,134.8982
1,False,True,500,0.1,140.49616
1,False,True,1000,1e-05,134.89839999999998
1,False,True,1000,0.0001,134.89839999999998
1,False,True,1000,0.001,134.89836
1,False,True,1000,0.01,134.8982
1,False,True,1000,0.1,140.49616
1,False,True,2000,1e-05,134.89839999999998
1,False,True,2000,0.0001,134.89839999999998
1,False,True,2000,0.001,134.89836
1,False,True,2000,0.01,134.8982
1,False,True,2000,0.1,140.49616
1,False,True,5000,1e-05,134.89839999999998
1,False,True,5000,0.0001,134.89839999999998
1,False,True,5000,0.001,134.89836
1,False,True,5000,0.01,134.8982
1,False,True,5000,0.1,140.49616
1,False,True,15000,1e-05,134.89839999999998
1,False,True,15000,0.0001,134.89839999999998
1,False,True,15000,0.001,134.89836
1,False,True,15000,0.01,134.8982
1,False,True,15000,0.1,140.49616
1,False,True,20000,1e-05,134.89839999999998
1,False,True,20000,0.0001,134.89839999999998
1,False,True,20000,0.001,134.89836
1,False,True,20000,0.01,134.8982
1,False,True,20000,0.1,140.49616
1,False,False,500,1e-05,134.89839999999998
1,False,False,500,0.0001,134.89839999999998
1,False,False,500,0.001,134.89836
1,False,False,500,0.01,134.8982
1,False,False,500,0.1,140.49616
1,False,False,1000,1e-05,134.89839999999998
1,False,False,1000,0.0001,134.89839999999998
1,False,False,1000,0.001,134.89836
1,False,False,1000,0.01,134.8982
1,False,False,1000,0.1,140.49616
1,False,False,2000,1e-05,134.89839999999998
1,False,False,2000,0.0001,134.89839999999998
1,False,False,2000,0.001,134.89836
1,False,False,2000,0.01,134.8982
1,False,False,2000,0.1,140.49616
1,False,False,5000,1e-05,134.89839999999998
1,False,False,5000,0.0001,134.89839999999998
1,False,False,5000,0.001,134.89836
1,False,False,5000,0.01,134.8982
1,False,False,5000,0.1,140.49616
1,False,False,15000,1e-05,134.89839999999998
1,False,False,15000,0.0001,134.89839999999998
1,False,False,15000,0.001,134.89836
1,False,False,15000,0.01,134.8982
1,False,False,15000,0.1,140.49616
1,False,False,20000,1e-05,134.89839999999998
1,False,False,20000,0.0001,134.89839999999998
1,False,False,20000,0.001,134.89836
1,False,False,20000,0.01,134.8982
1,False,False,20000,0.1,140.49616
10,True,True,500,1e-05,130.51592
10,True,True,500,0.0001,130.51592
10,True,True,500,0.001,130.51592
10,True,True,500,0.01,130.51594
10,True,True,500,0.1,130.51590000000002
10,True,True,1000,1e-05,130.51592
10,True,True,1000,0.0001,130.51592
10,True,True,1000,0.001,130.51592
10,True,True,1000,0.01,130.51594
10,True,True,1000,0.1,130.51590000000002
10,True,True,2000,1e-05,130.51592
10,True,True,2000,0.0001,130.51592
10,True,True,2000,0.001,130.51592
10,True,True,2000,0.01,130.51594
10,True,True,2000,0.1,130.51590000000002
10,True,True,5000,1e-05,130.51592
10,True,True,5000,0.0001,130.51592
10,True,True,5000,0.001,130.51592
10,True,True,5000,0.01,130.51594
10,True,True,5000,0.1,130.51590000000002
10,True,True,15000,1e-05,130.51592
10,True,True,15000,0.0001,130.51592
10,True,True,15000,0.001,130.51592
10,True,True,15000,0.01,130.51594
10,True,True,15000,0.1,130.51590000000002
10,True,True,20000,1e-05,130.51592
10,True,True,20000,0.0001,130.51592
10,True,True,20000,0.001,130.51592
10,True,True,20000,0.01,130.51594
10,True,True,20000,0.1,130.51590000000002
10,True,False,500,1e-05,130.51592
10,True,False,500,0.0001,130.51592
10,True,False,500,0.001,130.51592
10,True,False,500,0.01,130.51594
10,True,False,500,0.1,130.51590000000002
10,True,False,1000,1e-05,130.51592
10,True,False,1000,0.0001,130.51592
10,True,False,1000,0.001,130.51592
10,True,False,1000,0.01,130.51594
10,True,False,1000,0.1,130.51590000000002
10,True,False,2000,1e-05,130.51592
10,True,False,2000,0.0001,130.51592
10,True,False,2000,0.001,130.51592
10,True,False,2000,0.01,130.51594
10,True,False,2000,0.1,130.51590000000002
10,True,False,5000,1e-05,130.51592
10,True,False,5000,0.0001,130.51592
10,True,False,5000,0.001,130.51592
10,True,False,5000,0.01,130.51594
10,True,False,5000,0.1,130.51590000000002
10,True,False,15000,1e-05,130.51592
10,True,False,15000,0.0001,130.51592
10,True,False,15000,0.001,130.51592
10,True,False,15000,0.01,130.51594
10,True,False,15000,0.1,130.51590000000002
10,True,False,20000,1e-05,130.51592
10,True,False,20000,0.0001,130.51592
10,True,False,20000,0.001,130.51592
10,True,False,20000,0.01,130.51594
10,True,False,20000,0.1,130.51590000000002
10,False,True,500,1e-05,134.4887
10,False,True,500,0.0001,134.48868
10,False,True,500,0.001,134.48862
10,False,True,500,0.01,134.4865
10,False,True,500,0.1,140.06716
10,False,True,1000,1e-05,134.4887
10,False,True,1000,0.0001,134.48868
10,False,True,1000,0.001,134.48862
10,False,True,1000,0.01,134.4865
10,False,True,1000,0.1,140.06716
10,False,True,2000,1e-05,134.4887
10,False,True,2000,0.0001,134.48868
10,False,True,2000,0.001,134.48862
10,False,True,2000,0.01,134.4865
10,False,True,2000,0.1,140.06716
10,False,True,5000,1e-05,134.4887
10,False,True,5000,0.0001,134.48868
10,False,True,5000,0.001,134.48862
10,False,True,5000,0.01,134.4865
10,False,True,5000,0.1,140.06716
10,False,True,15000,1e-05,134.4887
10,False,True,15000,0.0001,134.48868
10,False,True,15000,0.001,134.48862
10,False,True,15000,0.01,134.4865
10,False,True,15000,0.1,140.06716
10,False,True,20000,1e-05,134.4887
10,False,True,20000,0.0001,134.48868
10,False,True,20000,0.001,134.48862
10,False,True,20000,0.01,134.4865
10,False,True,20000,0.1,140.06716
10,False,False,500,1e-05,134.4887
10,False,False,500,0.0001,134.48868
10,False,False,500,0.001,134.48862
10,False,False,500,0.01,134.4865
10,False,False,500,0.1,140.06716
10,False,False,1000,1e-05,134.4887
10,False,False,1000,0.0001,134.48868
10,False,False,1000,0.001,134.48862
10,False,False,1000,0.01,134.4865
10,False,False,1000,0.1,140.06716
10,False,False,2000,1e-05,134.4887
10,False,False,2000,0.0001,134.48868
10,False,False,2000,0.001,134.48862
10,False,False,2000,0.01,134.4865
10,False,False,2000,0.1,140.06716
10,False,False,5000,1e-05,134.4887
10,False,False,5000,0.0001,134.48868
10,False,False,5000,0.001,134.48862
10,False,False,5000,0.01,134.4865
10,False,False,5000,0.1,140.06716
10,False,False,15000,1e-05,134.4887
10,False,False,15000,0.0001,134.48868
10,False,False,15000,0.001,134.48862
10,False,False,15000,0.01,134.4865
10,False,False,15000,0.1,140.06716
10,False,False,20000,1e-05,134.4887
10,False,False,20000,0.0001,134.48868
10,False,False,20000,0.001,134.48862
10,False,False,20000,0.01,134.4865
10,False,False,20000,0.1,140.06716
100,True,True,500,1e-05,125.03979999999999
100,True,True,500,0.0001,125.03979999999999
100,True,True,500,0.001,125.03992000000001
100,True,True,500,0.01,125.03991999999998
100,True,True,500,0.1,125.03991999999998
100,True,True,1000,1e-05,125.03979999999999
100,True,True,1000,0.0001,125.03979999999999
100,True,True,1000,0.001,125.03992000000001
100,True,True,1000,0.01,125.03991999999998
100,True,True,1000,0.1,125.03991999999998
100,True,True,2000,1e-05,125.03979999999999
100,True,True,2000,0.0001,125.03979999999999
100,True,True,2000,0.001,125.03992000000001
100,True,True,2000,0.01,125.03991999999998
100,True,True,2000,0.1,125.03991999999998
100,True,True,5000,1e-05,125.03979999999999
100,True,True,5000,0.0001,125.03979999999999
100,True,True,5000,0.001,125.03992000000001
100,True,True,5000,0.01,125.03991999999998
100,True,True,5000,0.1,125.03991999999998
100,True,True,15000,1e-05,125.03979999999999
100,True,True,15000,0.0001,125.03979999999999
100,True,True,15000,0.001,125.03992000000001
100,True,True,15000,0.01,125.03991999999998
100,True,True,15000,0.1,125.03991999999998
100,True,True,20000,1e-05,125.03979999999999
100,True,True,20000,0.0001,125.03979999999999
100,True,True,20000,0.001,125.03992000000001
100,True,True,20000,0.01,125.03991999999998
100,True,True,20000,0.1,125.03991999999998
100,True,False,500,1e-05,125.03979999999999
100,True,False,500,0.0001,125.03979999999999
100,True,False,500,0.001,125.03992000000001
100,True,False,500,0.01,125.03991999999998
100,True,False,500,0.1,125.03991999999998
100,True,False,1000,1e-05,125.03979999999999
100,True,False,1000,0.0001,125.03979999999999
100,True,False,1000,0.001,125.03992000000001
100,True,False,1000,0.01,125.03991999999998
100,True,False,1000,0.1,125.03991999999998
100,True,False,2000,1e-05,125.03979999999999
100,True,False,2000,0.0001,125.03979999999999
100,True,False,2000,0.001,125.03992000000001
100,True,False,2000,0.01,125.03991999999998
100,True,False,2000,0.1,125.03991999999998
100,True,False,5000,1e-05,125.03979999999999
100,True,False,5000,0.0001,125.03979999999999
100,True,False,5000,0.001,125.03992000000001
100,True,False,5000,0.01,125.03991999999998
100,True,False,5000,0.1,125.03991999999998
100,True,False,15000,1e-05,125.03979999999999
100,True,False,15000,0.0001,125.03979999999999
100,True,False,15000,0.001,125.03992000000001
100,True,False,15000,0.01,125.03991999999998
100,True,False,15000,0.1,125.03991999999998
100,True,False,20000,1e-05,125.03979999999999
100,True,False,20000,0.0001,125.03979999999999
100,True,False,20000,0.001,125.03992000000001
100,True,False,20000,0.01,125.03991999999998
100,True,False,20000,0.1,125.03991999999998
100,False,True,500,1e-05,130.6907
100,False,True,500,0.0001,130.69114000000002
100,False,True,500,0.001,130.69029999999998
100,False,True,500,0.01,130.67772
100,False,True,500,0.1,136.33124
100,False,True,1000,1e-05,130.6907
100,False,True,1000,0.0001,130.69114000000002
100,False,True,1000,0.001,130.69029999999998
100,False,True,1000,0.01,130.67772
100,False,True,1000,0.1,136.33124
100,False,True,2000,1e-05,130.6907
100,False,True,2000,0.0001,130.69114000000002
100,False,True,2000,0.001,130.69029999999998
100,False,True,2000,0.01,130.67772
100,False,True,2000,0.1,136.33124
100,False,True,5000,1e-05,130.6907
100,False,True,5000,0.0001,130.69114000000002
100,False,True,5000,0.001,130.69029999999998
100,False,True,5000,0.01,130.67772
100,False,True,5000,0.1,136.33124
100,False,True,15000,1e-05,130.6907
100,False,True,15000,0.0001,130.69114000000002
100,False,True,15000,0.001,130.69029999999998
100,False,True,15000,0.01,130.67772
