n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,min_impurity_decrease,error
10,squared_error,10.0,2,1,log2,0.1,0.068
10,squared_error,10.0,2,1,log2,0.2,0.06
10,squared_error,10.0,2,1,log2,0.3,0.06
10,squared_error,10.0,2,5,NoneValue,0.0,0.032
10,squared_error,10.0,2,5,NoneValue,0.1,0.0339999999999999
10,squared_error,10.0,2,5,NoneValue,0.2,0.032
10,squared_error,10.0,2,5,NoneValue,0.3,0.032
10,squared_error,10.0,2,5,sqrt,0.0,0.086
10,squared_error,10.0,2,5,sqrt,0.1,0.094
10,squared_error,10.0,2,5,sqrt,0.2,0.092
10,squared_error,10.0,2,5,sqrt,0.3,0.098
10,squared_error,10.0,2,5,log2,0.0,0.102
10,squared_error,10.0,2,5,log2,0.1,0.084
10,squared_error,10.0,2,5,log2,0.2,0.088
10,squared_error,10.0,2,5,log2,0.3,0.082
10,squared_error,10.0,2,10,NoneValue,0.0,0.074
10,squared_error,10.0,2,10,NoneValue,0.1,0.074
10,squared_error,10.0,2,10,NoneValue,0.2,0.074
10,squared_error,10.0,2,10,NoneValue,0.3,0.072
10,squared_error,10.0,2,10,sqrt,0.0,0.12
10,squared_error,10.0,2,10,sqrt,0.1,0.118
10,squared_error,10.0,2,10,sqrt,0.2,0.124
10,squared_error,10.0,2,10,sqrt,0.3,0.122
10,squared_error,10.0,2,10,log2,0.0,0.112
10,squared_error,10.0,2,10,log2,0.1,0.118
10,squared_error,10.0,2,10,log2,0.2,0.124
10,squared_error,10.0,2,10,log2,0.3,0.136
10,squared_error,10.0,2,20,NoneValue,0.0,0.16
10,squared_error,10.0,2,20,NoneValue,0.1,0.146
10,squared_error,10.0,2,20,NoneValue,0.2,0.152
10,squared_error,10.0,2,20,NoneValue,0.3,0.15
10,squared_error,10.0,2,20,sqrt,0.0,0.17
10,squared_error,10.0,2,20,sqrt,0.1,0.172
10,squared_error,10.0,2,20,sqrt,0.2,0.152
10,squared_error,10.0,2,20,sqrt,0.3,0.176
10,squared_error,10.0,2,20,log2,0.0,0.162
10,squared_error,10.0,2,20,log2,0.1,0.158
10,squared_error,10.0,2,20,log2,0.2,0.172
10,squared_error,10.0,2,20,log2,0.3,0.156
10,squared_error,10.0,6,1,NoneValue,0.0,0.03
10,squared_error,10.0,6,1,NoneValue,0.1,0.032
10,squared_error,10.0,6,1,NoneValue,0.2,0.032
10,squared_error,10.0,6,1,NoneValue,0.3,0.032
10,squared_error,10.0,6,1,sqrt,0.0,0.076
10,squared_error,10.0,6,1,sqrt,0.1,0.076
10,squared_error,10.0,6,1,sqrt,0.2,0.074
10,squared_error,10.0,6,1,sqrt,0.3,0.072
10,squared_error,10.0,6,1,log2,0.0,0.072
10,squared_error,10.0,6,1,log2,0.1,0.074
10,squared_error,10.0,6,1,log2,0.2,0.066
