n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,min_impurity_decrease,error
10,squared_error,NoneValue,10,20,NoneValue,0.0,0.142
10,squared_error,NoneValue,10,20,NoneValue,0.1,0.15
10,squared_error,NoneValue,10,20,NoneValue,0.2,0.15
10,squared_error,NoneValue,10,20,NoneValue,0.3,0.144
10,squared_error,NoneValue,10,20,sqrt,0.0,0.164
10,squared_error,NoneValue,10,20,sqrt,0.1,0.15
10,squared_error,NoneValue,10,20,sqrt,0.2,0.162
10,squared_error,NoneValue,10,20,sqrt,0.3,0.146
10,squared_error,NoneValue,10,20,log2,0.0,0.146
10,squared_error,NoneValue,10,20,log2,0.1,0.162
10,squared_error,NoneValue,10,20,log2,0.2,0.162
10,squared_error,NoneValue,10,20,log2,0.3,0.154
10,squared_error,NoneValue,20,1,NoneValue,0.0,0.0559999999999999
10,squared_error,NoneValue,20,1,NoneValue,0.1,0.06
10,squared_error,NoneValue,20,1,NoneValue,0.2,0.0579999999999999
10,squared_error,NoneValue,20,1,NoneValue,0.3,0.054
10,squared_error,NoneValue,20,1,sqrt,0.0,0.126
10,squared_error,NoneValue,20,1,sqrt,0.1,0.108
10,squared_error,NoneValue,20,1,sqrt,0.2,0.104
10,squared_error,NoneValue,20,1,sqrt,0.3,0.1159999999999999
10,squared_error,NoneValue,20,1,log2,0.0,0.106
10,squared_error,NoneValue,20,1,log2,0.1,0.11
10,squared_error,NoneValue,20,1,log2,0.2,0.102
10,squared_error,NoneValue,20,1,log2,0.3,0.1159999999999999
10,squared_error,NoneValue,20,5,NoneValue,0.0,0.06
10,squared_error,NoneValue,20,5,NoneValue,0.1,0.0579999999999999
10,squared_error,NoneValue,20,5,NoneValue,0.2,0.066
10,squared_error,NoneValue,20,5,NoneValue,0.3,0.062
10,squared_error,NoneValue,20,5,sqrt,0.0,0.12
10,squared_error,NoneValue,20,5,sqrt,0.1,0.1119999999999999
10,squared_error,NoneValue,20,5,sqrt,0.2,0.114
10,squared_error,NoneValue,20,5,sqrt,0.3,0.118
10,squared_error,NoneValue,20,5,log2,0.0,0.108
10,squared_error,NoneValue,20,5,log2,0.1,0.116
10,squared_error,NoneValue,20,5,log2,0.2,0.118
10,squared_error,NoneValue,20,5,log2,0.3,0.1099999999999999
10,squared_error,NoneValue,20,10,NoneValue,0.0,0.07
10,squared_error,NoneValue,20,10,NoneValue,0.1,0.07
10,squared_error,NoneValue,20,10,NoneValue,0.2,0.066
10,squared_error,NoneValue,20,10,NoneValue,0.3,0.07
10,squared_error,NoneValue,20,10,sqrt,0.0,0.124
10,squared_error,NoneValue,20,10,sqrt,0.1,0.13
10,squared_error,NoneValue,20,10,sqrt,0.2,0.128
10,squared_error,NoneValue,20,10,sqrt,0.3,0.12
10,squared_error,NoneValue,20,10,log2,0.0,0.122
10,squared_error,NoneValue,20,10,log2,0.1,0.118
10,squared_error,NoneValue,20,10,log2,0.2,0.126
10,squared_error,NoneValue,20,10,log2,0.3,0.1139999999999999
10,squared_error,NoneValue,20,20,NoneValue,0.0,0.148
10,squared_error,NoneValue,20,20,NoneValue,0.1,0.154
10,squared_error,NoneValue,20,20,NoneValue,0.2,0.152
10,squared_error,NoneValue,20,20,NoneValue,0.3,0.142
10,squared_error,NoneValue,20,20,sqrt,0.0,0.146
10,squared_error,NoneValue,20,20,sqrt,0.1,0.17
10,squared_error,NoneValue,20,20,sqrt,0.2,0.158
10,squared_error,NoneValue,20,20,sqrt,0.3,0.16
10,squared_error,NoneValue,20,20,log2,0.0,0.162
10,squared_error,NoneValue,20,20,log2,0.1,0.162
10,squared_error,NoneValue,20,20,log2,0.2,0.164
10,squared_error,NoneValue,20,20,log2,0.3,0.136
10,squared_error,NoneValue,40,1,NoneValue,0.0,0.13
10,squared_error,NoneValue,40,1,NoneValue,0.1,0.13
10,squared_error,NoneValue,40,1,NoneValue,0.2,0.132
10,squared_error,NoneValue,40,1,NoneValue,0.3,0.132
10,squared_error,NoneValue,40,1,sqrt,0.0,0.146
10,squared_error,NoneValue,40,1,sqrt,0.1,0.16
10,squared_error,NoneValue,40,1,sqrt,0.2,0.148
10,squared_error,NoneValue,40,1,sqrt,0.3,0.15
10,squared_error,NoneValue,40,1,log2,0.0,0.148
10,squared_error,NoneValue,40,1,log2,0.1,0.152
10,squared_error,NoneValue,40,1,log2,0.2,0.144
10,squared_error,NoneValue,40,1,log2,0.3,0.14
10,squared_error,NoneValue,40,5,NoneValue,0.0,0.138
10,squared_error,NoneValue,40,5,NoneValue,0.1,0.132
10,squared_error,NoneValue,40,5,NoneValue,0.2,0.128
10,squared_error,NoneValue,40,5,NoneValue,0.3,0.132
10,squared_error,NoneValue,40,5,sqrt,0.0,0.152
10,squared_error,NoneValue,40,5,sqrt,0.1,0.16
10,squared_error,NoneValue,40,5,sqrt,0.2,0.14
10,squared_error,NoneValue,40,5,sqrt,0.3,0.138
10,squared_error,NoneValue,40,5,log2,0.0,0.15
10,squared_error,NoneValue,40,5,log2,0.1,0.154
10,squared_error,NoneValue,40,5,log2,0.2,0.152
10,squared_error,NoneValue,40,5,log2,0.3,0.148
10,squared_error,NoneValue,40,10,NoneValue,0.0,0.13
10,squared_error,NoneValue,40,10,NoneValue,0.1,0.136
10,squared_error,NoneValue,40,10,NoneValue,0.2,0.132
10,squared_error,NoneValue,40,10,NoneValue,0.3,0.128
10,squared_error,NoneValue,40,10,sqrt,0.0,0.134
10,squared_error,NoneValue,40,10,sqrt,0.1,0.14
10,squared_error,NoneValue,40,10,sqrt,0.2,0.156
10,squared_error,NoneValue,40,10,sqrt,0.3,0.148
10,squared_error,NoneValue,40,10,log2,0.0,0.142
10,squared_error,NoneValue,40,10,log2,0.1,0.14
10,squared_error,NoneValue,40,10,log2,0.2,0.144
10,squared_error,NoneValue,40,10,log2,0.3,0.136
10,squared_error,NoneValue,40,20,NoneValue,0.0,0.154
10,squared_error,NoneValue,40,20,NoneValue,0.1,0.148
10,squared_error,NoneValue,40,20,NoneValue,0.2,0.142
10,squared_error,NoneValue,40,20,NoneValue,0.3,0.15
10,squared_error,NoneValue,40,20,sqrt,0.0,0.162
10,squared_error,NoneValue,40,20,sqrt,0.1,0.154
10,squared_error,NoneValue,40,20,sqrt,0.2,0.16
10,squared_error,NoneValue,40,20,sqrt,0.3,0.148
10,squared_error,NoneValue,40,20,log2,0.0,0.16
10,squared_error,NoneValue,40,20,log2,0.1,0.162
10,squared_error,NoneValue,40,20,log2,0.2,0.152
10,squared_error,NoneValue,40,20,log2,0.3,0.13
30,squared_error,5.0,2,1,NoneValue,0.0,0.1139999999999999
30,squared_error,5.0,2,1,NoneValue,0.1,0.112
30,squared_error,5.0,2,1,NoneValue,0.2,0.114
30,squared_error,5.0,2,1,NoneValue,0.3,0.112
30,squared_error,5.0,2,1,sqrt,0.0,0.128
30,squared_error,5.0,2,1,sqrt,0.1,0.136
30,squared_error,5.0,2,1,sqrt,0.2,0.138
30,squared_error,5.0,2,1,sqrt,0.3,0.136
30,squared_error,5.0,2,1,log2,0.0,0.138
30,squared_error,5.0,2,1,log2,0.1,0.13
30,squared_error,5.0,2,1,log2,0.2,0.14
30,squared_error,5.0,2,1,log2,0.3,0.138
30,squared_error,5.0,2,5,NoneValue,0.0,0.118
30,squared_error,5.0,2,5,NoneValue,0.1,0.114
30,squared_error,5.0,2,5,NoneValue,0.2,0.114
30,squared_error,5.0,2,5,NoneValue,0.3,0.112
30,squared_error,5.0,2,5,sqrt,0.0,0.126
30,squared_error,5.0,2,5,sqrt,0.1,0.138
30,squared_error,5.0,2,5,sqrt,0.2,0.13
30,squared_error,5.0,2,5,sqrt,0.3,0.138
30,squared_error,5.0,2,5,log2,0.0,0.14
30,squared_error,5.0,2,5,log2,0.1,0.148
30,squared_error,5.0,2,5,log2,0.2,0.138
30,squared_error,5.0,2,5,log2,0.3,0.146
30,squared_error,5.0,2,10,NoneValue,0.0,0.126
30,squared_error,5.0,2,10,NoneValue,0.1,0.122
30,squared_error,5.0,2,10,NoneValue,0.2,0.13
30,squared_error,5.0,2,10,NoneValue,0.3,0.124
30,squared_error,5.0,2,10,sqrt,0.0,0.14
30,squared_error,5.0,2,10,sqrt,0.1,0.136
30,squared_error,5.0,2,10,sqrt,0.2,0.136
30,squared_error,5.0,2,10,sqrt,0.3,0.15
30,squared_error,5.0,2,10,log2,0.0,0.158
30,squared_error,5.0,2,10,log2,0.1,0.138
30,squared_error,5.0,2,10,log2,0.2,0.144
30,squared_error,5.0,2,10,log2,0.3,0.142
30,squared_error,5.0,2,20,NoneValue,0.0,0.18
30,squared_error,5.0,2,20,NoneValue,0.1,0.182
30,squared_error,5.0,2,20,NoneValue,0.2,0.176
30,squared_error,5.0,2,20,NoneValue,0.3,0.178
30,squared_error,5.0,2,20,sqrt,0.0,0.166
30,squared_error,5.0,2,20,sqrt,0.1,0.164
30,squared_error,5.0,2,20,sqrt,0.2,0.164
30,squared_error,5.0,2,20,sqrt,0.3,0.16
30,squared_error,5.0,2,20,log2,0.0,0.15
30,squared_error,5.0,2,20,log2,0.1,0.172
30,squared_error,5.0,2,20,log2,0.2,0.166
30,squared_error,5.0,2,20,log2,0.3,0.1599999999999999
30,squared_error,5.0,6,1,NoneValue,0.0,0.114
30,squared_error,5.0,6,1,NoneValue,0.1,0.1159999999999999
30,squared_error,5.0,6,1,NoneValue,0.2,0.1159999999999999
30,squared_error,5.0,6,1,NoneValue,0.3,0.1159999999999999
30,squared_error,5.0,6,1,sqrt,0.0,0.126
30,squared_error,5.0,6,1,sqrt,0.1,0.128
30,squared_error,5.0,6,1,sqrt,0.2,0.132
30,squared_error,5.0,6,1,sqrt,0.3,0.142
30,squared_error,5.0,6,1,log2,0.0,0.124
30,squared_error,5.0,6,1,log2,0.1,0.134
30,squared_error,5.0,6,1,log2,0.2,0.134
30,squared_error,5.0,6,1,log2,0.3,0.132
30,squared_error,5.0,6,5,NoneValue,0.0,0.11
30,squared_error,5.0,6,5,NoneValue,0.1,0.112
30,squared_error,5.0,6,5,NoneValue,0.2,0.1139999999999999
30,squared_error,5.0,6,5,NoneValue,0.3,0.114
30,squared_error,5.0,6,5,sqrt,0.0,0.146
30,squared_error,5.0,6,5,sqrt,0.1,0.14
30,squared_error,5.0,6,5,sqrt,0.2,0.136
30,squared_error,5.0,6,5,sqrt,0.3,0.13
30,squared_error,5.0,6,5,log2,0.0,0.128
30,squared_error,5.0,6,5,log2,0.1,0.132
30,squared_error,5.0,6,5,log2,0.2,0.136
30,squared_error,5.0,6,5,log2,0.3,0.136
30,squared_error,5.0,6,10,NoneValue,0.0,0.122
30,squared_error,5.0,6,10,NoneValue,0.1,0.124
30,squared_error,5.0,6,10,NoneValue,0.2,0.126
30,squared_error,5.0,6,10,NoneValue,0.3,0.124
30,squared_error,5.0,6,10,sqrt,0.0,0.142
30,squared_error,5.0,6,10,sqrt,0.1,0.142
30,squared_error,5.0,6,10,sqrt,0.2,0.14
30,squared_error,5.0,6,10,sqrt,0.3,0.144
30,squared_error,5.0,6,10,log2,0.0,0.14
30,squared_error,5.0,6,10,log2,0.1,0.154
30,squared_error,5.0,6,10,log2,0.2,0.146
30,squared_error,5.0,6,10,log2,0.3,0.14
30,squared_error,5.0,6,20,NoneValue,0.0,0.18
30,squared_error,5.0,6,20,NoneValue,0.1,0.176
30,squared_error,5.0,6,20,NoneValue,0.2,0.174
30,squared_error,5.0,6,20,NoneValue,0.3,0.178
30,squared_error,5.0,6,20,sqrt,0.0,0.164
30,squared_error,5.0,6,20,sqrt,0.1,0.17
30,squared_error,5.0,6,20,sqrt,0.2,0.166
30,squared_error,5.0,6,20,sqrt,0.3,0.156
30,squared_error,5.0,6,20,log2,0.0,0.172
30,squared_error,5.0,6,20,log2,0.1,0.162
30,squared_error,5.0,6,20,log2,0.2,0.172
30,squared_error,5.0,6,20,log2,0.3,0.166
30,squared_error,5.0,10,1,NoneValue,0.0,0.1139999999999999
30,squared_error,5.0,10,1,NoneValue,0.1,0.11
30,squared_error,5.0,10,1,NoneValue,0.2,0.114
30,squared_error,5.0,10,1,NoneValue,0.3,0.1119999999999999
30,squared_error,5.0,10,1,sqrt,0.0,0.136
30,squared_error,5.0,10,1,sqrt,0.1,0.14
30,squared_error,5.0,10,1,sqrt,0.2,0.134
30,squared_error,5.0,10,1,sqrt,0.3,0.13
30,squared_error,5.0,10,1,log2,0.0,0.14
30,squared_error,5.0,10,1,log2,0.1,0.13
30,squared_error,5.0,10,1,log2,0.2,0.136
30,squared_error,5.0,10,1,log2,0.3,0.134
30,squared_error,5.0,10,5,NoneValue,0.0,0.1139999999999999
30,squared_error,5.0,10,5,NoneValue,0.1,0.1139999999999999
30,squared_error,5.0,10,5,NoneValue,0.2,0.1139999999999999
30,squared_error,5.0,10,5,NoneValue,0.3,0.108
30,squared_error,5.0,10,5,sqrt,0.0,0.14
30,squared_error,5.0,10,5,sqrt,0.1,0.136
30,squared_error,5.0,10,5,sqrt,0.2,0.132
30,squared_error,5.0,10,5,sqrt,0.3,0.136
30,squared_error,5.0,10,5,log2,0.0,0.132
30,squared_error,5.0,10,5,log2,0.1,0.136
30,squared_error,5.0,10,5,log2,0.2,0.136
30,squared_error,5.0,10,5,log2,0.3,0.136
30,squared_error,5.0,10,10,NoneValue,0.0,0.124
30,squared_error,5.0,10,10,NoneValue,0.1,0.126
30,squared_error,5.0,10,10,NoneValue,0.2,0.126
30,squared_error,5.0,10,10,NoneValue,0.3,0.126
30,squared_error,5.0,10,10,sqrt,0.0,0.144
30,squared_error,5.0,10,10,sqrt,0.1,0.134
30,squared_error,5.0,10,10,sqrt,0.2,0.142
30,squared_error,5.0,10,10,sqrt,0.3,0.134
30,squared_error,5.0,10,10,log2,0.0,0.142
30,squared_error,5.0,10,10,log2,0.1,0.144
30,squared_error,5.0,10,10,log2,0.2,0.136
30,squared_error,5.0,10,10,log2,0.3,0.142
30,squared_error,5.0,10,20,NoneValue,0.0,0.174
30,squared_error,5.0,10,20,NoneValue,0.1,0.172
30,squared_error,5.0,10,20,NoneValue,0.2,0.178
30,squared_error,5.0,10,20,NoneValue,0.3,0.176
30,squared_error,5.0,10,20,sqrt,0.0,0.162
30,squared_error,5.0,10,20,sqrt,0.1,0.166
30,squared_error,5.0,10,20,sqrt,0.2,0.162
30,squared_error,5.0,10,20,sqrt,0.3,0.164
30,squared_error,5.0,10,20,log2,0.0,0.166
30,squared_error,5.0,10,20,log2,0.1,0.156
30,squared_error,5.0,10,20,log2,0.2,0.158
30,squared_error,5.0,10,20,log2,0.3,0.16
30,squared_error,5.0,20,1,NoneValue,0.0,0.1159999999999999
30,squared_error,5.0,20,1,NoneValue,0.1,0.12
30,squared_error,5.0,20,1,NoneValue,0.2,0.1159999999999999
30,squared_error,5.0,20,1,NoneValue,0.3,0.1159999999999999
30,squared_error,5.0,20,1,sqrt,0.0,0.14
30,squared_error,5.0,20,1,sqrt,0.1,0.138
30,squared_error,5.0,20,1,sqrt,0.2,0.144
30,squared_error,5.0,20,1,sqrt,0.3,0.142
30,squared_error,5.0,20,1,log2,0.0,0.138
30,squared_error,5.0,20,1,log2,0.1,0.14
30,squared_error,5.0,20,1,log2,0.2,0.134
30,squared_error,5.0,20,1,log2,0.3,0.14
30,squared_error,5.0,20,5,NoneValue,0.0,0.118
30,squared_error,5.0,20,5,NoneValue,0.1,0.114
30,squared_error,5.0,20,5,NoneValue,0.2,0.1159999999999999
30,squared_error,5.0,20,5,NoneValue,0.3,0.12
30,squared_error,5.0,20,5,sqrt,0.0,0.146
30,squared_error,5.0,20,5,sqrt,0.1,0.146
30,squared_error,5.0,20,5,sqrt,0.2,0.14
30,squared_error,5.0,20,5,sqrt,0.3,0.142
30,squared_error,5.0,20,5,log2,0.0,0.14
30,squared_error,5.0,20,5,log2,0.1,0.138
30,squared_error,5.0,20,5,log2,0.2,0.146
30,squared_error,5.0,20,5,log2,0.3,0.142
30,squared_error,5.0,20,10,NoneValue,0.0,0.126
30,squared_error,5.0,20,10,NoneValue,0.1,0.128
30,squared_error,5.0,20,10,NoneValue,0.2,0.126
30,squared_error,5.0,20,10,NoneValue,0.3,0.13
30,squared_error,5.0,20,10,sqrt,0.0,0.144
30,squared_error,5.0,20,10,sqrt,0.1,0.144
30,squared_error,5.0,20,10,sqrt,0.2,0.144
30,squared_error,5.0,20,10,sqrt,0.3,0.148
30,squared_error,5.0,20,10,log2,0.0,0.14
30,squared_error,5.0,20,10,log2,0.1,0.148
30,squared_error,5.0,20,10,log2,0.2,0.14
30,squared_error,5.0,20,10,log2,0.3,0.14
30,squared_error,5.0,20,20,NoneValue,0.0,0.176
30,squared_error,5.0,20,20,NoneValue,0.1,0.182
30,squared_error,5.0,20,20,NoneValue,0.2,0.178
30,squared_error,5.0,20,20,NoneValue,0.3,0.174
30,squared_error,5.0,20,20,sqrt,0.0,0.16
30,squared_error,5.0,20,20,sqrt,0.1,0.164
30,squared_error,5.0,20,20,sqrt,0.2,0.158
30,squared_error,5.0,20,20,sqrt,0.3,0.164
30,squared_error,5.0,20,20,log2,0.0,0.166
30,squared_error,5.0,20,20,log2,0.1,0.1699999999999999
30,squared_error,5.0,20,20,log2,0.2,0.166
30,squared_error,5.0,20,20,log2,0.3,0.1619999999999999
30,squared_error,5.0,40,1,NoneValue,0.0,0.152
30,squared_error,5.0,40,1,NoneValue,0.1,0.154
30,squared_error,5.0,40,1,NoneValue,0.2,0.154
30,squared_error,5.0,40,1,NoneValue,0.3,0.152
30,squared_error,5.0,40,1,sqrt,0.0,0.154
30,squared_error,5.0,40,1,sqrt,0.1,0.152
30,squared_error,5.0,40,1,sqrt,0.2,0.158
30,squared_error,5.0,40,1,sqrt,0.3,0.142
30,squared_error,5.0,40,1,log2,0.0,0.154
30,squared_error,5.0,40,1,log2,0.1,0.15
30,squared_error,5.0,40,1,log2,0.2,0.148
30,squared_error,5.0,40,1,log2,0.3,0.15
30,squared_error,5.0,40,5,NoneValue,0.0,0.154
30,squared_error,5.0,40,5,NoneValue,0.1,0.154
30,squared_error,5.0,40,5,NoneValue,0.2,0.152
30,squared_error,5.0,40,5,NoneValue,0.3,0.154
30,squared_error,5.0,40,5,sqrt,0.0,0.152
30,squared_error,5.0,40,5,sqrt,0.1,0.15
30,squared_error,5.0,40,5,sqrt,0.2,0.15
30,squared_error,5.0,40,5,sqrt,0.3,0.146
30,squared_error,5.0,40,5,log2,0.0,0.156
30,squared_error,5.0,40,5,log2,0.1,0.154
30,squared_error,5.0,40,5,log2,0.2,0.148
30,squared_error,5.0,40,5,log2,0.3,0.144
30,squared_error,5.0,40,10,NoneValue,0.0,0.15
30,squared_error,5.0,40,10,NoneValue,0.1,0.154
30,squared_error,5.0,40,10,NoneValue,0.2,0.15
30,squared_error,5.0,40,10,NoneValue,0.3,0.158
30,squared_error,5.0,40,10,sqrt,0.0,0.154
30,squared_error,5.0,40,10,sqrt,0.1,0.152
30,squared_error,5.0,40,10,sqrt,0.2,0.152
30,squared_error,5.0,40,10,sqrt,0.3,0.152
30,squared_error,5.0,40,10,log2,0.0,0.156
30,squared_error,5.0,40,10,log2,0.1,0.148
30,squared_error,5.0,40,10,log2,0.2,0.146
30,squared_error,5.0,40,10,log2,0.3,0.152
30,squared_error,5.0,40,20,NoneValue,0.0,0.178
30,squared_error,5.0,40,20,NoneValue,0.1,0.178
30,squared_error,5.0,40,20,NoneValue,0.2,0.178
30,squared_error,5.0,40,20,NoneValue,0.3,0.176
30,squared_error,5.0,40,20,sqrt,0.0,0.168
30,squared_error,5.0,40,20,sqrt,0.1,0.162
30,squared_error,5.0,40,20,sqrt,0.2,0.156
30,squared_error,5.0,40,20,sqrt,0.3,0.164
30,squared_error,5.0,40,20,log2,0.0,0.156
30,squared_error,5.0,40,20,log2,0.1,0.162
30,squared_error,5.0,40,20,log2,0.2,0.156
30,squared_error,5.0,40,20,log2,0.3,0.158
30,squared_error,10.0,2,1,NoneValue,0.0,0.03
30,squared_error,10.0,2,1,NoneValue,0.1,0.03
30,squared_error,10.0,2,1,NoneValue,0.2,0.032
30,squared_error,10.0,2,1,NoneValue,0.3,0.03
30,squared_error,10.0,2,1,sqrt,0.0,0.05
30,squared_error,10.0,2,1,sqrt,0.1,0.052
30,squared_error,10.0,2,1,sqrt,0.2,0.05
30,squared_error,10.0,2,1,sqrt,0.3,0.046
30,squared_error,10.0,2,1,log2,0.0,0.054
30,squared_error,10.0,2,1,log2,0.1,0.05
30,squared_error,10.0,2,1,log2,0.2,0.05
30,squared_error,10.0,2,1,log2,0.3,0.048
30,squared_error,10.0,2,5,NoneValue,0.0,0.032
30,squared_error,10.0,2,5,NoneValue,0.1,0.032
30,squared_error,10.0,2,5,NoneValue,0.2,0.032
30,squared_error,10.0,2,5,NoneValue,0.3,0.032
30,squared_error,10.0,2,5,sqrt,0.0,0.092
30,squared_error,10.0,2,5,sqrt,0.1,0.092
30,squared_error,10.0,2,5,sqrt,0.2,0.088
30,squared_error,10.0,2,5,sqrt,0.3,0.092
30,squared_error,10.0,2,5,log2,0.0,0.084
30,squared_error,10.0,2,5,log2,0.1,0.092
30,squared_error,10.0,2,5,log2,0.2,0.082
30,squared_error,10.0,2,5,log2,0.3,0.086
30,squared_error,10.0,2,10,NoneValue,0.0,0.066
30,squared_error,10.0,2,10,NoneValue,0.1,0.066
30,squared_error,10.0,2,10,NoneValue,0.2,0.068
30,squared_error,10.0,2,10,NoneValue,0.3,0.066
30,squared_error,10.0,2,10,sqrt,0.0,0.1139999999999999
30,squared_error,10.0,2,10,sqrt,0.1,0.122
30,squared_error,10.0,2,10,sqrt,0.2,0.1159999999999999
30,squared_error,10.0,2,10,sqrt,0.3,0.1159999999999999
30,squared_error,10.0,2,10,log2,0.0,0.118
30,squared_error,10.0,2,10,log2,0.1,0.12
30,squared_error,10.0,2,10,log2,0.2,0.128
30,squared_error,10.0,2,10,log2,0.3,0.12
30,squared_error,10.0,2,20,NoneValue,0.0,0.146
30,squared_error,10.0,2,20,NoneValue,0.1,0.148
30,squared_error,10.0,2,20,NoneValue,0.2,0.146
30,squared_error,10.0,2,20,NoneValue,0.3,0.144
30,squared_error,10.0,2,20,sqrt,0.0,0.158
30,squared_error,10.0,2,20,sqrt,0.1,0.156
30,squared_error,10.0,2,20,sqrt,0.2,0.154
30,squared_error,10.0,2,20,sqrt,0.3,0.152
30,squared_error,10.0,2,20,log2,0.0,0.156
30,squared_error,10.0,2,20,log2,0.1,0.158
30,squared_error,10.0,2,20,log2,0.2,0.148
30,squared_error,10.0,2,20,log2,0.3,0.154
30,squared_error,10.0,6,1,NoneValue,0.0,0.032
30,squared_error,10.0,6,1,NoneValue,0.1,0.032
30,squared_error,10.0,6,1,NoneValue,0.2,0.032
30,squared_error,10.0,6,1,NoneValue,0.3,0.032
30,squared_error,10.0,6,1,sqrt,0.0,0.066
30,squared_error,10.0,6,1,sqrt,0.1,0.07
30,squared_error,10.0,6,1,sqrt,0.2,0.066
30,squared_error,10.0,6,1,sqrt,0.3,0.066
30,squared_error,10.0,6,1,log2,0.0,0.062
30,squared_error,10.0,6,1,log2,0.1,0.062
30,squared_error,10.0,6,1,log2,0.2,0.066
30,squared_error,10.0,6,1,log2,0.3,0.064
30,squared_error,10.0,6,5,NoneValue,0.0,0.032
30,squared_error,10.0,6,5,NoneValue,0.1,0.032
30,squared_error,10.0,6,5,NoneValue,0.2,0.032
30,squared_error,10.0,6,5,NoneValue,0.3,0.032
30,squared_error,10.0,6,5,sqrt,0.0,0.088
30,squared_error,10.0,6,5,sqrt,0.1,0.086
30,squared_error,10.0,6,5,sqrt,0.2,0.088
30,squared_error,10.0,6,5,sqrt,0.3,0.088
30,squared_error,10.0,6,5,log2,0.0,0.088
30,squared_error,10.0,6,5,log2,0.1,0.088
30,squared_error,10.0,6,5,log2,0.2,0.09
30,squared_error,10.0,6,5,log2,0.3,0.088
30,squared_error,10.0,6,10,NoneValue,0.0,0.068
30,squared_error,10.0,6,10,NoneValue,0.1,0.068
30,squared_error,10.0,6,10,NoneValue,0.2,0.07
30,squared_error,10.0,6,10,NoneValue,0.3,0.07
30,squared_error,10.0,6,10,sqrt,0.0,0.118
30,squared_error,10.0,6,10,sqrt,0.1,0.122
30,squared_error,10.0,6,10,sqrt,0.2,0.1139999999999999
30,squared_error,10.0,6,10,sqrt,0.3,0.1159999999999999
30,squared_error,10.0,6,10,log2,0.0,0.12
30,squared_error,10.0,6,10,log2,0.1,0.122
30,squared_error,10.0,6,10,log2,0.2,0.126
30,squared_error,10.0,6,10,log2,0.3,0.124
30,squared_error,10.0,6,20,NoneValue,0.0,0.146
30,squared_error,10.0,6,20,NoneValue,0.1,0.15
30,squared_error,10.0,6,20,NoneValue,0.2,0.15
30,squared_error,10.0,6,20,NoneValue,0.3,0.148
30,squared_error,10.0,6,20,sqrt,0.0,0.16
30,squared_error,10.0,6,20,sqrt,0.1,0.144
30,squared_error,10.0,6,20,sqrt,0.2,0.156
30,squared_error,10.0,6,20,sqrt,0.3,0.148
30,squared_error,10.0,6,20,log2,0.0,0.152
30,squared_error,10.0,6,20,log2,0.1,0.16
30,squared_error,10.0,6,20,log2,0.2,0.154
30,squared_error,10.0,6,20,log2,0.3,0.158
30,squared_error,10.0,10,1,NoneValue,0.0,0.032
30,squared_error,10.0,10,1,NoneValue,0.1,0.032
30,squared_error,10.0,10,1,NoneValue,0.2,0.032
30,squared_error,10.0,10,1,NoneValue,0.3,0.032
30,squared_error,10.0,10,1,sqrt,0.0,0.084
30,squared_error,10.0,10,1,sqrt,0.1,0.078
30,squared_error,10.0,10,1,sqrt,0.2,0.082
30,squared_error,10.0,10,1,sqrt,0.3,0.074
30,squared_error,10.0,10,1,log2,0.0,0.078
30,squared_error,10.0,10,1,log2,0.1,0.076
30,squared_error,10.0,10,1,log2,0.2,0.082
30,squared_error,10.0,10,1,log2,0.3,0.082
30,squared_error,10.0,10,5,NoneValue,0.0,0.032
30,squared_error,10.0,10,5,NoneValue,0.1,0.032
30,squared_error,10.0,10,5,NoneValue,0.2,0.032
30,squared_error,10.0,10,5,NoneValue,0.3,0.032
30,squared_error,10.0,10,5,sqrt,0.0,0.084
30,squared_error,10.0,10,5,sqrt,0.1,0.09
30,squared_error,10.0,10,5,sqrt,0.2,0.084
30,squared_error,10.0,10,5,sqrt,0.3,0.084
30,squared_error,10.0,10,5,log2,0.0,0.09
30,squared_error,10.0,10,5,log2,0.1,0.086
30,squared_error,10.0,10,5,log2,0.2,0.09
30,squared_error,10.0,10,5,log2,0.3,0.092
30,squared_error,10.0,10,10,NoneValue,0.0,0.07
30,squared_error,10.0,10,10,NoneValue,0.1,0.068
30,squared_error,10.0,10,10,NoneValue,0.2,0.068
30,squared_error,10.0,10,10,NoneValue,0.3,0.07
30,squared_error,10.0,10,10,sqrt,0.0,0.1139999999999999
30,squared_error,10.0,10,10,sqrt,0.1,0.122
30,squared_error,10.0,10,10,sqrt,0.2,0.122
30,squared_error,10.0,10,10,sqrt,0.3,0.118
30,squared_error,10.0,10,10,log2,0.0,0.114
30,squared_error,10.0,10,10,log2,0.1,0.1159999999999999
30,squared_error,10.0,10,10,log2,0.2,0.1139999999999999
30,squared_error,10.0,10,10,log2,0.3,0.122
30,squared_error,10.0,10,20,NoneValue,0.0,0.15
30,squared_error,10.0,10,20,NoneValue,0.1,0.146
30,squared_error,10.0,10,20,NoneValue,0.2,0.152
30,squared_error,10.0,10,20,NoneValue,0.3,0.152
30,squared_error,10.0,10,20,sqrt,0.0,0.156
30,squared_error,10.0,10,20,sqrt,0.1,0.158
30,squared_error,10.0,10,20,sqrt,0.2,0.142
30,squared_error,10.0,10,20,sqrt,0.3,0.152
30,squared_error,10.0,10,20,log2,0.0,0.16
30,squared_error,10.0,10,20,log2,0.1,0.16
