n_neighbors,weights,algorithm,leaf_size,p,MMRE-
3,uniform,brute,30,1,209.91136
3,uniform,brute,30,2,206.04636
3,uniform,brute,40,1,209.91136
3,uniform,brute,40,2,206.04636
3,uniform,brute,50,1,209.91136
3,uniform,brute,50,2,206.04636
3,uniform,brute,100,1,209.91136
3,uniform,brute,100,2,206.04636
3,distance,auto,10,1,208.25406000000004
3,distance,auto,10,2,204.33858
3,distance,auto,20,1,208.25406000000004
3,distance,auto,20,2,204.33858
3,distance,auto,30,1,208.25406000000004
3,distance,auto,30,2,204.33858
3,distance,auto,40,1,208.25406000000004
3,distance,auto,40,2,204.33858
3,distance,auto,50,1,208.25406000000004
3,distance,auto,50,2,204.33858
3,distance,auto,100,1,208.25406000000004
3,distance,auto,100,2,204.33858
3,distance,ball_tree,10,1,208.25406000000004
3,distance,ball_tree,10,2,204.33858
3,distance,ball_tree,20,1,208.25406000000004
3,distance,ball_tree,20,2,204.33858
3,distance,ball_tree,30,1,208.25406000000004
3,distance,ball_tree,30,2,204.33858
3,distance,ball_tree,40,1,208.25406000000004
3,distance,ball_tree,40,2,204.33858
3,distance,ball_tree,50,1,208.25406000000004
3,distance,ball_tree,50,2,204.33858
3,distance,ball_tree,100,1,208.25406000000004
3,distance,ball_tree,100,2,204.33858
3,distance,kd_tree,10,1,208.25406000000004
3,distance,kd_tree,10,2,204.33858
3,distance,kd_tree,20,1,208.25406000000004
3,distance,kd_tree,20,2,204.33858
3,distance,kd_tree,30,1,208.25406000000004
3,distance,kd_tree,30,2,204.33858
3,distance,kd_tree,40,1,208.25406000000004
3,distance,kd_tree,40,2,204.33858
3,distance,kd_tree,50,1,208.25406000000004
3,distance,kd_tree,50,2,204.33858
3,distance,kd_tree,100,1,208.25406000000004
3,distance,kd_tree,100,2,204.33858
3,distance,brute,10,1,208.25406000000004
3,distance,brute,10,2,204.33858
3,distance,brute,20,1,208.25406000000004
3,distance,brute,20,2,204.33858
3,distance,brute,30,1,208.25406000000004
3,distance,brute,30,2,204.33858
3,distance,brute,40,1,208.25406000000004
3,distance,brute,40,2,204.33858
3,distance,brute,50,1,208.25406000000004
3,distance,brute,50,2,204.33858
3,distance,brute,100,1,208.25406000000004
3,distance,brute,100,2,204.33858
5,uniform,auto,10,1,216.32046
5,uniform,auto,10,2,211.43721999999997
5,uniform,auto,20,1,216.32046
5,uniform,auto,20,2,211.43721999999997
5,uniform,auto,30,1,216.32046
5,uniform,auto,30,2,211.43721999999997
5,uniform,auto,40,1,216.32046
5,uniform,auto,40,2,211.43721999999997
5,uniform,auto,50,1,216.32046
5,uniform,auto,50,2,211.43721999999997
5,uniform,auto,100,1,216.32046
5,uniform,auto,100,2,211.43721999999997
5,uniform,ball_tree,10,1,216.32046
5,uniform,ball_tree,10,2,211.43721999999997
5,uniform,ball_tree,20,1,216.32046
5,uniform,ball_tree,20,2,211.43721999999997
5,uniform,ball_tree,30,1,216.32046
5,uniform,ball_tree,30,2,211.43721999999997
