N_estimators,Max_depth,Min_samples_split,Min_samples_leaf,max_features,Min_impurity_decrease,MMRE-
10,5,10,20,sqrt,0.2,133.77026
10,5,10,20,sqrt,0.3,133.34982
10,5,10,20,log2,0,157.04488
10,5,10,20,log2,0.1,122.6828
10,5,10,20,log2,0.2,179.2957
10,5,10,20,log2,0.3,124.89392
10,5,20,1,None,0,5.2015
10,5,20,1,None,0.1,5.1627
10,5,20,1,None,0.2,5.21172
10,5,20,1,None,0.3,5.23148
10,5,20,1,sqrt,0,130.33802
10,5,20,1,sqrt,0.1,131.3494
10,5,20,1,sqrt,0.2,100.85184
10,5,20,1,sqrt,0.3,170.46742
10,5,20,1,log2,0,116.18868
10,5,20,1,log2,0.1,146.73566
10,5,20,1,log2,0.2,146.98452
10,5,20,1,log2,0.3,152.5426
10,5,20,5,None,0,5.18526
10,5,20,5,None,0.1,5.219
10,5,20,5,None,0.2,5.2873
10,5,20,5,None,0.3,5.20376
10,5,20,5,sqrt,0,116.86678
10,5,20,5,sqrt,0.1,135.20086
10,5,20,5,sqrt,0.2,160.31812
10,5,20,5,sqrt,0.3,109.65718
10,5,20,5,log2,0,132.86418
10,5,20,5,log2,0.1,127.95778
10,5,20,5,log2,0.2,114.94062
10,5,20,5,log2,0.3,130.72404
10,5,20,10,None,0,5.36584
10,5,20,10,None,0.1,5.33704
10,5,20,10,None,0.2,5.41612
10,5,20,10,None,0.3,5.38204
10,5,20,10,sqrt,0,163.33388
10,5,20,10,sqrt,0.1,145.36086
10,5,20,10,sqrt,0.2,142.73282
10,5,20,10,sqrt,0.3,125.58388
10,5,20,10,log2,0,163.70392
10,5,20,10,log2,0.1,124.62408
10,5,20,10,log2,0.2,110.42876
10,5,20,10,log2,0.3,154.16382
10,5,20,20,None,0,5.5529
10,5,20,20,None,0.1,5.51664
10,5,20,20,None,0.2,5.55076
10,5,20,20,None,0.3,5.55588
10,5,20,20,sqrt,0,128.8385
10,5,20,20,sqrt,0.1,134.3313
10,5,20,20,sqrt,0.2,158.71596
10,5,20,20,sqrt,0.3,162.87182
10,5,20,20,log2,0,153.5043
10,5,20,20,log2,0.1,166.6767
10,5,20,20,log2,0.2,173.92548
10,5,20,20,log2,0.3,169.77664
10,5,40,1,None,0,5.13082
10,5,40,1,None,0.1,5.14086
10,5,40,1,None,0.2,5.13022
10,5,40,1,None,0.3,5.18436
10,5,40,1,sqrt,0,181.26446
10,5,40,1,sqrt,0.1,178.73538
10,5,40,1,sqrt,0.2,165.27492
10,5,40,1,sqrt,0.3,150.61552
10,5,40,1,log2,0,128.60894
10,5,40,1,log2,0.1,129.05616
10,5,40,1,log2,0.2,151.8796
10,5,40,1,log2,0.3,121.23404
10,5,40,5,None,0,5.25048
10,5,40,5,None,0.1,5.23772
10,5,40,5,None,0.2,5.21526
10,5,40,5,None,0.3,5.1786
10,5,40,5,sqrt,0,141.02448
10,5,40,5,sqrt,0.1,108.617
10,5,40,5,sqrt,0.2,149.84172
10,5,40,5,sqrt,0.3,137.84644
10,5,40,5,log2,0,144.1847
10,5,40,5,log2,0.1,166.65796
10,5,40,5,log2,0.2,118.06822
10,5,40,5,log2,0.3,163.45214
10,5,40,10,None,0,5.31526
10,5,40,10,None,0.1,5.34142
10,5,40,10,None,0.2,5.37112
10,5,40,10,None,0.3,5.38686
10,5,40,10,sqrt,0,144.58774
10,5,40,10,sqrt,0.1,150.94632
10,5,40,10,sqrt,0.2,119.08476
10,5,40,10,sqrt,0.3,142.36868
10,5,40,10,log2,0,163.3293
10,5,40,10,log2,0.1,151.9288
10,5,40,10,log2,0.2,104.95322
10,5,40,10,log2,0.3,138.29726
10,5,40,20,None,0,5.54426
10,5,40,20,None,0.1,5.54778
10,5,40,20,None,0.2,5.53838
10,5,40,20,None,0.3,5.50458
10,5,40,20,sqrt,0,159.57232
10,5,40,20,sqrt,0.1,161.67748
10,5,40,20,sqrt,0.2,158.78074
10,5,40,20,sqrt,0.3,154.62098
10,5,40,20,log2,0,163.14546
10,5,40,20,log2,0.1,161.17048
10,5,40,20,log2,0.2,167.87198
10,5,40,20,log2,0.3,129.28218
10,10,2,1,None,0,4.77378
10,10,2,1,None,0.1,4.67978
10,10,2,1,None,0.2,4.7059
10,10,2,1,None,0.3,4.65902
10,10,2,1,sqrt,0,23.8172
10,10,2,1,sqrt,0.1,23.81104
10,10,2,1,sqrt,0.2,22.3382
10,10,2,1,sqrt,0.3,19.13794
10,10,2,1,log2,0,22.19266
10,10,2,1,log2,0.1,25.10428
10,10,2,1,log2,0.2,23.47806
10,10,2,1,log2,0.3,20.45352
10,10,2,5,None,0,4.55572
10,10,2,5,None,0.1,4.58234
